# Geni relationship path to 6000000001783830969 (inlaw)
#
# READ FROM THE RENDERED PAGE, not re-requested. https://www.geni.com/people/Naruhito-Emperor-of-Japan/6000000001783830969
#
# Naruhito, Emperor of Japan is NN Father of Huaxu's 7th great granddaughter's 66th great nephew's wife's grandson's 12th great nephew.
step	name	relation_to_previous	note
1	NN Father of Huaxu		geni:6000000227036719829
2	Huaxu		geni:6000000195149174838
3	Fuxi		geni:6000000130191678854
4	GŌNGSŪN Shǎo Diǎn 少典, 1世		geni:6000000026522778851
5	Yellow Emperor		geni:6000000001381274001
6	Xuán Xiāo, 玄囂/Shǎo Hào 少昊, 2		geni:6000000002481254239
7	Jiáo Jí, 蟜極, 3		geni:6000000007213183226
8	Emperor Kù 帝嚳, 4		geni:6000000002481253260
9	Emperor Yáo 帝堯, 5		geni:6000000003485847175
10	É Huáng, 娥皇		geni:6000000189960074826
11	Emperor Shùn 帝舜 9, 1G		geni:6000000195149451825
12	Yáo Zhòng Huá  姚重華		geni:6000000020081057184
13	Yáo Nǚ 姚女修		geni:6000000020080347820
14	Dàlián 大廉		geni:6000000020080280715
15	Fèichāng 費昌		geni:6000000020081488034
16	Zhōngyǎn 中衍		geni:6000000020081451167
17	Zhongjue 中潏		geni:6000000020081733018
18	秦蜚廉		geni:6000000020081759112
19	èlái 贏惡來		geni:6000000020081756044
20	Yíng Nǚ Fáng 贏女防		geni:6000000020081807047
21	Yíng Páng Gāo 贏旁皋		geni:6000000020081977005
22	Yíng Tài Jǐ 贏太幾		geni:6000000020081854161
23	Yíng Dà Luò 贏大駱		geni:6000000020081868140
24	Feizi 非子, 秦非子, Qin Ying 秦嬴		geni:6000000012696300313
25	Marquis of Qin 秦侯		geni:6000000012696253426
26	Gongbo 公伯		geni:6000000012696331279
27	Qin Zhong 秦仲		geni:6000000012696112569
28	Duke Zhuang of Qin 秦莊公		geni:6000000012696082877
29	Duke Xiang of Qin 秦襄公		geni:6000000012696010455
30	Duke Wen of Qin 秦文公		geni:6000000012696313204
31	Duke Jing of Qin 秦靜公		geni:6000000012696268227
32	Duke Xian of Qin 秦憲公		geni:6000000012696253271
33	Duke De of Qin 秦德公		geni:6000000012695997919
34	Renhao 任好, Duke Mu of Qin 秦穆公		geni:6000000012688790621
35	Duke Kang of Qin 秦康公		geni:6000000012696183531
36	Duke Gong of Qin 秦共公		geni:6000000012695554070
37	Duke Huan of Qin 秦桓公		geni:6000000012696294640
38	Duke Jing of Qin 秦景公		geni:6000000012696382424
39	Duke Ai of Qin 秦哀公		geni:6000000012696194542
40	Duke Yi of Qin 秦夷公		geni:6000000012696254012
41	Duke Hui I of Qin 秦惠公		geni:6000000012696294912
42	Duke Dao of Qin 秦悼公		geni:6000000012696402367
43	Duke Ligong of Qin 秦厲共公		geni:6000000012696484201
44	Duke Huai of Qin 秦懷公		geni:6000000012696457339
45	Zhaozi 昭子		geni:6000000012696187542
46	Duke Ling of Qin 秦靈公		geni:6000000012695790045
47	Duke Xian of Qin 秦獻公		geni:6000000012696250625
48	Duke Xiao of Qin 秦孝公		geni:6000000012696314506
49	King Hui of Qin 秦惠王		geni:6000000012696602278
50	King Zhaoxiang of Qin 秦昭襄王		geni:6000000012696532340
51	King Xiaowen of Qin 秦孝文王		geni:6000000012696491614
52	Zichu 子楚, King Zhuangxiang of Qin 秦莊襄王		geni:6000000012696678306
53	Zheng 政, First Emperor of Qin 秦始皇帝		geni:6000000012696708415
54	Fusu 扶蘇(一)		geni:6000000012696507126
55	孝武王 Hata		geni:6000000210475857821
56	Yuzuki no Kimi Hata		geni:6000000210475751830
57	普洞王 Hata		geni:6000000210475697836
58	酒君/酒公 Hata		geni:6000000210475738822
59	意美 Hata		geni:6000000210475473863
60	宇志 Hata		geni:6000000210475719822
61	Tanshō Hata		geni:6000000210475392885
62	Kawa Hata		geni:6000000210475417853
63	Kunikatsu Hata		geni:6000000210475297821
64	Hata no Kawakatsu		geni:6000000001952260956
65	秦石勝		geni:6000000004668747931
66	秦百足		geni:6000000004669055331
67	秦足国		geni:6000000004668882562
68	秦石竹		geni:6000000004669018423
69	秦足長		geni:6000000004668959682
70	秦智奈里		geni:6000000004668993020
71	秦氏継		geni:6000000004668814536
72	惟宗永厚		geni:6000000004668991008
73	惟宗具範		geni:6000000004668971031
74	惟宗広孝		geni:6000000004668691541
75	惟宗貴重		geni:6000000004668647969
76	惟宗孝近		geni:6000000004668811321
77	惟宗孝言		geni:6000000004668782525
78	惟宗基言		geni:6000000004668892191
79	惟宗広言		geni:6000000002934660014
80	丹後内侍		geni:6000000002933557025
81	安達景盛		geni:6000000008141407248
82	安達義景		geni:6000000008632863863
83	小笠原時長女		geni:6000000008141648952
84	小笠原忠脩		geni:6000000001882193085
85	齢昭院		geni:6000000001882204014
86	蜂須賀隆矩		geni:6000000001882100280
87	蜂須賀綱矩		geni:6000000002627847479
88	井伊直惟正室		geni:6000000002627768768
89	井伊直幸		geni:6000000002506562068
90	小出英常継室		geni:6000000003187970114
91	小出英筠		geni:6000000003187856211
92	Sono		geni:6000000009866734062
93	Sachiko Sono		geni:6000000012592118612
94	Yoshihito Taishō-tennō, Emperor Taisho of Japan		geni:6000000011626767474
95	Hirohito Shōwa-tennō, Emperor Showa of Japan		geni:6000000011626937289
96	Akihito, Emperor Emeritus of Japan		geni:6000000001783879627
97	Naruhito, Emperor of Japan		geni:6000000001783830969
