geni_id	descendants	ancestors	blood_relatives	family_tree	followers	at
6000000008826548841	15000	1757	15000	320	14	2026-09-14T00:40:03.529Z
6000000015507447504	6975	15000	15000	3301	5	2026-09-14T01:06:32.349Z
6000000025509643712	1417	10876	15000	2134	4	2026-09-14T00:41:52.356Z
6000000015749554969	1226	15000	15000	4387	7	2026-09-14T01:06:16.907Z
6000000016230973646	943	15000	15000	3001	9	2026-09-14T01:06:59.648Z
6000000045721503632	874	8862	15000	4943	7	2026-09-14T00:42:02.842Z
6000000084060294030	425	11059	15000	2033	3	2026-09-14T00:42:13.003Z
6000000115739287822	212	15000	15000	1308	1	2026-09-14T01:08:00.529Z
6000000008036168750	192	4204	15000	1738	4	2026-09-14T01:08:08.105Z
6000000174715086184	48	5425	15000	78	2	2026-09-14T00:43:39.967Z
6000000006098571153	19	8420	15000	9457	7	2026-09-14T01:07:17.410Z
6000000223797053953	12	9467	15000	8199	1	2026-09-14T00:43:25.486Z
6000000027740636984	12	14218	15000	1339	1	2026-09-14T00:43:36.438Z
6000000087783152912	10	14127	15000	15000	1	2026-09-14T00:39:21.637Z
6000000180699898968	5	7523	15000	1822	1	2026-09-14T00:42:22.065Z
6000000081293704916	2	8908	15000	2646	2	2026-09-14T00:39:55.281Z
6000000019260335559	1	15000	15000	4634	9	2026-09-14T00:40:29.817Z
6000000002589862976	0	5942	15000	1718	0	2026-09-14T00:39:08.832Z
6000000223794460143	0	10784	15000	6368	1	2026-09-14T00:39:33.550Z
6000000196844972825	0	5831	15000	1801	2	2026-09-14T00:39:43.055Z
6000000114768400966	0	14723	15000	15000	2	2026-09-14T00:40:16.284Z
6000000100411869828	0	6340	15000	256	1	2026-09-14T00:40:24.336Z
6000000002188436354	0	15000	15000	7214	8	2026-09-14T00:40:45.697Z
6000000074353201907	0	10354	15000	15000	3	2026-09-14T00:40:58.588Z
6000000006428419376						2026-09-14T00:41:19.711Z
6000000050811714143	0	11591	15000	15000	3	2026-09-14T00:41:23.927Z
6000000180830008831	0	7741	15000	2444	1	2026-09-14T00:41:40.134Z
6000000000640943135	0	13227	15000	1576	0	2026-09-14T00:42:33.714Z
6000000014399032634	0	6863	15000	12143	2	2026-09-14T00:42:43.197Z
6000000206429489865	0	15000	15000	368	1	2026-09-14T00:42:47.258Z
6000000114690456946						2026-09-14T00:43:13.482Z
6000000000640989900	0	13227	15000	1030	0	2026-09-14T01:06:27.665Z
6000000202905091844	0	10360	15000	1076	1	2026-09-14T01:06:46.239Z
6000000072434171163	0	7951	15000	566	1	2026-09-14T01:06:55.580Z
6000000002188453140	0	15000	15000	6880	15	2026-09-14T01:07:28.838Z
6000000098272624873	0	14161	15000	15000	2	2026-09-14T01:07:40.498Z
6000000137653547825	0	9974	15000	13034	1	2026-09-14T01:07:43.626Z
6000000223807872013	0	15000	15000	6295	1	2026-09-14T01:08:22.070Z
6000000224502522282	0	10321	15000	15000	1	2026-09-14T01:08:33.212Z
5063130609340132669	0	2616	15000	1873	0	2026-09-14T01:08:41.483Z
