qid	geni_id	wikidata_label	geni_name	our_father	our_mother	their_father	their_mother	why
Q261237	298732052860003667	Elisabeth of Bavaria, Queen of Germany	Elisabeth Wittelsbach Römisch-Deutsche Königin, Königin von Sizilien und Jerusalem	6000000003827359914	4225312789020057152	Q697412	Q4450926	father: their Q697412 carries 6000000075386006821, ours is 6000000003827359914 | mother: their Q4450926 carries no Geni id
Q161831	347657700690011265	Siemomysl	Siemomysł Piast	6000000005406819728		Q28414		father: their Q28414 carries 6000000083502296207, ours is 6000000005406819728 | mother: none in our tree
Q55236875	4363165195640021509	Патрыкей Давыдавіч	Patrikas, prince of Starodub & Zwenihorod	4363152365890123437	6000000008589035885	Q2562821		father: their Q2562821 carries 6000000012582260156, ours is 4363152365890123437 | mother: none on the item
Q75532497	4622833911900028174	Elizabeth Stewart	Elizabeth Stewart	6000000003646057142	6000000003646057844	Q3183663	Q75388621	mother: their Q75388621 carries 6000000078166803900, ours is 6000000003646057844
Q18576385	5190884585660088175	James Douglas, 2nd Earl of Queensberry	James Douglas 4th Lord of Dalkeith, 1st Earl of Morton	6000000003646008699	6000000006444108022	Q18577170	Q75254901	father: their Q18577170 carries 6000000000748049191, ours is 6000000003646008699 | mother: their Q75254901 carries no Geni id
Q61911161	5259638785100119928	Elizabeth de Hastings	Elizabeth Hastings	6000000011583355676	6000000001322135666	Q6238201	Q61911164	mother: their Q61911164 carries 6000000002188011456, ours is 6000000001322135666
Q110304359	5269498957060121279	Borge Axelsen Rosenkrantz	Børge Eriksen Rosenkrantz	5149096265050047141	5149096314280047148	Q107025302		father: their Q107025302 carries 5269489820380073022, ours is 5149096265050047141 | mother: none on the item
Q123036351	6000000000064485653	Wilhelmina Armfelt	Wilhelmina Gustava Charlotta Armfelt	6000000006127523501	6000000001187115278	Q543935	Q272289	mother: their Q272289 carries 6000000001181021094, ours is 6000000001187115278
Q381837	6000000000119295074	Ramon Berenguer IV, Count of Provence	Ramon Berenguer of Provence	6000000000120326597	6000000000154279554	Q465451	Q2375130	mother: their Q2375130 carries 6000000014245690324, ours is 6000000000154279554
Q259267	6000000000124890646	Constanza Manuel	Maria de Portugal rainha consorte de Castela e Leão	6000000000111086524	6000000010829929660	Q373007	Q3687650	father: their Q373007 carries 6000000000010527647, ours is 6000000000111086524 | mother: their Q3687650 carries no Geni id
Q3587931	6000000000157099135	Elisabeth de Courtenay	Élisabeth de Courtenay	6000000002187857591	6000000006906647110	Q2616254	Q75241554	father: their Q2616254 carries 6000000008854010661, ours is 6000000002187857591 | mother: their Q75241554 carries no Geni id
Q16726150	6000000000160947334	Eithne ingen Cerbaill	Eithne Audna Cearbhalsdatter Princess of Ireland	6000000013124401188	6000000012977536699	Q773609		father: their Q773609 carries 6000000000161001437, ours is 6000000013124401188 | mother: none on the item
Q231145	6000000000307256993	Margaret of Anjou	Marguerite d'Anjou Queen consort of England and France	6000000002188309480	6000000003827363750	Q170353	Q237263	mother: their Q237263 carries 6000000041788357417, ours is 6000000003827363750
Q75290429	6000000000477285316	Isabel FitzRoy	"Isabel ""de Crouin"" fitzRoy Baroness Berkeley"	6000000013116383679	6000000001560164054	Q3430764	Q75386818	father: their Q3430764 carries 6000000008497152993, ours is 6000000013116383679 | mother: their Q75386818 carries no Geni id
