qid	geni_id	en_label	enwiki	zhwiki	family_properties	sitelinks
Q10087177	6000000074787646989	Yao Shu	no	yes	P22,P40	3
Q10107750	6000000074698434144	Kong Yanzhi	no	yes	P22,P40	1
Q10115605	6000000074703431263	Sun Zude	no	yes	P22,P40	1
Q10120827	6000000075427343824	Meng binyu	no	yes	P40	2
Q10125270	6000000075481396885	Sun Sigong	no	yes		1
Q10125565	6000000074703721018	Sun Bian	no	yes	P22,P40	1
Q10127704	6000000074703880937	Sun Changqing	no	yes	P22	1
Q10161951	6000000075422982857	An Shouliang	no	yes	P22	1
Q10184707	6000000075414586929	Song Xi	no	yes		2
Q10195137	6000000038201385151	Song Wo	yes	yes	P22,P25,P40	4
Q10195253	6000000075344174163	Song Hun	no	yes	P22	2
Q10195480	6000000075406186194	Song Shen	no	yes	P22,P25,P40	1
Q10195745	6000000063343218912	Song Shou	yes	yes	P22,P40	3
Q10197451	6000000074703693225	Song Di	yes	yes	P22	5
Q10233798	6000000074784871395	Xuan Zeng	no	yes	P22	1
Q10244158	6000000074784398185	Jia Xuanweng	no	yes		1
Q10259846		Feng Xiaoyan	no	yes	P22,P40,P3373	2
Q10259855		Feng Longzhi	no	yes	P22,P40	2
Q10259883	6000000075326922974	Yuchi Baolin	no	yes	P22,P25	2
Q10260387		Söse	no	yes	P22,P25,P3373	2
Q10265294	6000000074717612001	Yin Yuan	no	yes	P22,P40,P3373	1
Q10265327	6000000075423972039	Yin Qishen	no	yes		1
Q10271210		Cui Peng	no	yes	P22,P40	3
Q10271262	6000000074704226057	Cui Taifu	no	yes		1
Q10271321	6000000074716986016	Cui Xian	no	yes	P22,P40	1
Q10271512	6000000075344727977	Cui Zhaoju	no	yes	P22	1
Q10271617	6000000074747851036	Cui Zhuan	no	yes	P22,P40,P3373	1
Q10271660		Cui Yixuan	no	yes	P22,P40	2
Q10271678	6000000075484703616	Cui Han	no	yes	P40	1
Q10271698	6000000074716811255	Cui Jiao	no	yes	P22	1
Q10271786		Cui Xinggong	no	yes	P22,P40	3
Q10271804	6000000074717138923	Cui Zhan	no	yes	P22	1
Q10271876		Cui Xing	no	yes	P22	1
Q10280081	6000000074708862446	Chang Wuming	no	yes	P22,P40	1
Q10282143	6000000075426999843	Xing Yinxun	no	yes		2
Q10287656	6000000074783367864	Liao Deming	no	yes		1
Q10292658	6000000074770862883	Zhang Wumeng	no	yes		1
Q10293151	6000000075484126216	Zhang Duanyi	no	yes		2
Q10293267	6000000074685571945	Zhang Zhiyuan	no	yes	P22	1
Q10293285	6000000074686862899	Zhang Shunmin	no	yes	P22,P40	2
Q10293598	6000000075405056854	Zhang Qiqiu	no	yes	P22,P40	1
Q10293920	6000000075060508870	Zhang Jiugao	no	yes	P22,P40	1
Q10294699	6000000074733399028	Zhang Hongce	no	yes	P22,P40	2
Q10294985	6000000075484666857	Zhang Mengde	no	yes		1
Q10295119	6000000075397912902	Zhang Wengui	no	yes	P22,P40	1
Q10295721	6000000075058419834	Zhang Gang	no	yes	P22,P40	1
Q10295840	6000000075328253015	Zhang Jian	no	yes	P22,P40	3
Q10295868	6000000074735682051	Zhang Xingcheng	no	yes	P40	1
Q10295880	6000000037889287747	Zhang Biaochen	no	yes		1
Q10295889	6000000075430320911	Zhang Yue	no	yes	P22,P40	1
Q10295911	6000000074685377056	Zhang Bangji	no	yes	P22	3
Q10295919	6000000074299827992	Zhang Yong	no	yes	P40	1
Q10295973	6000000051945816932	Qiang Zhi	no	yes	P40	1
Q10296175		Zhangtai	no	yes	P22,P40	2
Q10296338	6000000075482839883	Xu Fu	no	yes	P40	1
Q10296401	6000000074770768840	Xu Qingsou	no	yes	P22	1
Q10296403		Xu Zhanzhi	no	yes	P22,P25,P40	2
Q10296407	6000000075431126979	Xu Ji	no	yes	P22	3
Q10296413	6000000074691374315	Xu Xi	no	yes	P22,P40	1
Q10296421	6000000075326158468	Xu Ziming	no	yes		1
Q10296423	6000000074771478868	Xu Fan	no	yes		1
Q10296426	6000000074770849859	Xu Rongsou	no	yes	P22	1
Q10296436	6000000074733218821	Xu Kai	no	yes	P22	3
Q10296822		Murong Xuanchao	no	yes	P22,P25,P40,P3373	3
Q10297039	6000000074784233328	Hu Meng	no	yes	P22	1
Q10297212		Anzhijidai	no	yes	P22,P40	5
Q10299269	6000000075328183989	Jing Bo	no	yes		2
Q10300103	6000000038220851214	Wen Jifu	no	yes	P22	1
Q10301066	6000000074751039986	Wen Weng	no	yes		2
Q10307923	6000000074792884020	Fang Shao	no	yes		1
Q10308129	6000000075421088887	Fang Shanjing	no	yes	P22,P25	2
Q10308428	6000000075506894859	Fang Dengyi	no	yes	P22,P40	1
Q10308615	6000000075345529854	Yu Ao	no	yes	P22,P40	2
Q10309461	6000000074757353870	Shi Chou	no	yes		2
Q10313955	6000000074727701079	Shi Shaozhang	no	yes	P22	1
Q10317793	6000000037869833609	Chao Jiong	no	yes	P22,P40	2
Q10323112	6000000074725792513	Cao Liyong	no	yes	P22,P40	2
Q10323658	6000000074745406022	Cao Jing	no	yes	P22,P40	1
Q10323734	6000000074704378049	Cao Yingshu	no	yes		1
