geni_id,qid,geni_cjk_name,wikidata_ja,wikidata_zh,wikidata_ko,wikidata_en
1354718,Q168691,,ヴィットーリオ・エマヌエーレ2世,维托里奥·埃马努埃莱二世,비토리오 에마누엘레 2세,Victor Emmanuel II of Italy
1354801,Q434077,,ナポレオン・ジョゼフ・シャルル・ポール・ボナパルト,拿破崙親王,나폴레옹 조제프 샤를 폴 보나파르트,"Prince Napoléon-Jérôme, Prince Napoléon"
2233799,Q7174248,,ピーター・ギンベル,,,Peter Gimbel
2430192,Q182840,,ルイ2世,路易二世,루이 2세,Louis the Stammerer
283181900190003966,Q271376,,アメストリス (ペルシア王妃),阿美司妥利斯,,Amestris
288390320120001964,Q3301,,カール・マルテル,查理·马特,카를 마르텔,Charles Martel
289320932760007122,Q6250312,,ジョン・ネヴィル,,,John Neville
2915061,Q273773,,ロロ,徒步王羅倫,롤로,Rollo
294507970270007973,Q155473,,カタリーナ・フォン・ベーメン,波希米亚的凯瑟琳,,Catherine of Bohemia
298740371650007964,Q1819709,,レオポルト2世・フォン・ハプスブルク,,,"Leopold II, Duke of Austria"
298741096650002960,Q664454,,ヘンリク6世ドブルィ,亨里克六世,,Henry VI the Good
298742409800006343,Q156404,,ルドルフ4世,魯道夫四世,,Rudolf IV
299079241680007968,Q651883,,カール・ヨーゼフ・フォン・ロートリンゲン,洛林的查理-約瑟夫,,Charles Joseph of Lorraine
299466839860007954,Q793616,,カール (ヴェステルイェートランド公),奥斯卡·卡尔·威廉,베스테르예틀란드 공작 칼 왕자,"Prince Carl, Duke of Västergötland"
300340430900007929,Q604419,,マリア・ホセファ・デ・ボルボン,瑪麗亞·約瑟法 (西班牙),,Infanta Maria Josefa of Spain
300537894950005354,Q692265,,ジェローム・ナポレオン・ボナパルト,杰羅姆·拿破崙·波拿巴,,Jérôme Napoleon Bonaparte
302030903370006491,Q234734,,大ファウスティナ,大福斯蒂娜,대 파우스티나,Faustina the Elder
302036169990003799,Q2068391,,ルピリア・ファウスティナ,鲁皮利亚,,Rupilia Faustina
302106850500001332,Q261802,,ジャヌアリア・マリア・デ・ブラガンサ,热努阿利亚公主,,"Januária, Countess of Aquila"
302107417920002914,Q2720659,,ルイジ・ディ・ボルボーネ＝ドゥエ・シチリエ,路易斯王子 (阿奎拉伯爵),,"Prince Louis, Count of Aquila"
302211628310006481,Q674757,,グナエウス・クラウディウス・セウェルス,提比略·克勞狄烏斯·塞維魯斯·普羅庫盧斯,티베리우스 클라우디우스 세베루스 프로쿨루스,Tiberius Claudius Severus Proculus
302224840050008242,Q441706,,小コルニフィキア,,안니아 코르니피키아 파우스티나 미노르,Annia Cornificia Faustina Minor
302534501490001345,Q567222,,ウェルス,,마르쿠스 안니우스 베루스 카이사르,Marcus Annius Verus Caesar
302889610110005663,Q7241575,,プレスリー・ネヴィル,,,Presley Neville
304433105310001815,Q57195,,フリードリヒ5世,腓特烈五世,프리드리히 5세,Frederick V of the Palatinate
304435320540004195,Q57989,,カール1世ルートヴィヒ,卡爾一世·路德維希 (普法爾茨),,"Charles I Louis, Elector Palatine"
306650341960001516,Q2221910,,サミュエル・ウィラード,塞繆爾·威拉德,사무엘 윌라드,Samuel Willard
3080341,Q1621801,,,本特·斯尼维尔,,Bengt Snivil
310151979050001364,Q735297,,トマス・メトカーフ,托马斯·梅特卡夫,,Thomas Metcalfe
310787864080006466,Q65878,,,約翰六世 (安哈爾特-策爾普斯特公爵),,John VI of Anhalt-Zerbst
310818848820003860,Q67155,,ヨハン,約翰一世,,"John, Duke of Brunswick-Lüneburg"
310870261240004530,Q519036,,ベアトリーチェ・ディ・シチリア (1326-1365),西西里的貝亞特麗切,,Beatrice of Sicily
311695983200008268,Q77557,,ハインリヒ・ユリウス,海因里希·尤利烏斯,,"Henry Julius, Duke of Brunswick-Lüneburg"
311701678080003943,Q91542,,エリーザベト・フォン・ブラウンシュヴァイク＝ヴォルフェンビュッテル,不倫瑞克-沃爾芬比特爾的伊莉莎白,,"Elisabeth of Brunswick-Wolfenbüttel, Duchess of Saxe-Altenburg"
311713752450007086,Q819778,,ウルリク,丹麥的烏爾里克,,Ulrik of Denmark
311714621730004586,Q452932,,ヘゼヴィ,丹麥的海德薇希,,Hedwig of Denmark
311748967320008232,Q69987,,クリスティアン・ルートヴィヒ,克里斯蒂安·路德維希,,"Christian Louis, Duke of Brunswick-Lüneburg"
311788525210007050,Q58773,,カール・ヴィルヘルム・フェルディナント,卡尔·威廉·斐迪南,브라운슈바이크 공작 카를 빌헬름 페르디난트,"Charles William Ferdinand, Duke of Brunswick-Wolfenbüttel"
312468491750006446,Q170179,,フリードリヒ1世,弗里德里希一世,프리드리히 1세,Frederick I of Württemberg
312473166720001563,Q170398,,ヴィルヘルム1世,威廉一世,빌헬름 1세,Wilhelm I of Württemberg
312474987850005822,Q57662,,カロリーネ・アウグステ・フォン・バイエルン,卡羅琳·奧古斯塔 (巴伐利亞),바이에른의 카롤리네 아우구스테,Caroline Augusta of Bavaria
312478266190003854,Q234257,,エカテリーナ・パヴロヴナ,葉卡捷琳娜·帕夫洛芙娜,,Catherine Pavlovna of Russia
312479826640001569,Q168674,,ゾフィー・フォン・ヴュルテンベルク,索菲,,Sophie of Württemberg
317651825030005113,Q350220,,マグヌス,馬格努斯·拉杜洛斯,망누스 3세,Magnus III of Sweden
328077168020005438,Q191789,,マーサ・ワシントン,马莎·华盛顿,마사 워싱턴,Martha Washington
337578418680004010,Q172471,,ウァレンス,瓦伦斯,발렌스,Valens
347131736630013162,Q309922,,クロタール3世 (フランク王),克洛泰尔三世,클로타르 3세,Chlothar III
347216548970004818,Q316874,,ダゴベルト2世,达戈贝尔特二世,다고베르트 2세,Dagobert II
347655337870012697,Q242746,,シグリーズ,西格麗德,시그리드 스토라다,Sigrid the Haughty
347774029580003520,Q181896,,スヴェン1世,斯温,스벤 포크발드,Sweyn I of Denmark
347803456540001332,Q134128,クヌート1世 (イングランド王),クヌート1世 (イングランド王),卡紐特大帝,크누드 대왕,Cnut the Great
347868854190012671,Q266495,,オーロフ1世 (デンマーク王),奥拉夫一世,올라프 1세,Olaf I of Denmark
348101875910005782,Q333356,,ピピン1世 (アキテーヌ王),丕平一世,아키텐의 피핀 1세,Pepin I of Aquitaine
348989271720012699,Q317933,,ユーグ大公,伟大的于格,위그 르 그랑,Hugh the Great
3518356,Q245968,,ジェームズ・ステュアート＝ワートリー＝マッケンジー,,,James Stuart-Wortley-Mackenzie
353464201260013082,Q777417,,エーリング・ステインベグ,厄爾林·斯泰因維格,,Erling Steinvegg
353466568960001728,Q888200,,インゲ・マグヌソン,英格·馬格努森,,Inge Magnusson
355281657880011354,Q1883688,,スウェーデン王女インゲボー,,,Ingeborg Magnusdotter of Sweden
356575805210011493,Q888209,,ホーコン若王,幼王哈康,,Haakon the Young
359281527140013083,Q210564,,ミカエル7世ドゥーカス,米海尔七世,미카엘 7세,Michael VII Doukas
3602493,Q452699,,エーリヒ2世,埃里克二世,포메라니아 공작 에릭 2세,"Eric II, Duke of Pomerania"
361088630390012679,Q37098,,ミカエル9世パレオロゴス,米海爾九世,미카일 9세 팔레올로고스,Michael IX Palaiologos
361088850870011645,Q2579326,,リタ,亚美尼亚的里塔,,Rita of Armenia
361088998770012651,Q37063,,アンドロニコス3世パレオロゴス,安德洛尼卡三世,안드로니코스 3세,Andronikos III Palaiologos
361089507860011643,Q37070,,ヨハネス5世パレオロゴス,约翰五世,요한네스 5세 팔라이오로고스,John V Palaiologos
361242720430013551,Q329708,,マテオス・カンダクジノス,马修·坎塔库泽努斯,마타이오스 칸타쿠제노스,Matthew Kantakouzenos
361244423510011619,Q37078,,アンドロニコス4世パレオロゴス,安德洛尼卡四世,,Andronikos IV Palaiologos
361248587300001388,Q704973,,テオドロス2世パレオロゴス,狄奥多尔二世·巴列奥略,,Theodoros II Palaiologos
