label	kind	qid	created
Bø	family	Q30253098	2026-08-27
Gennäs	family	Q141223490	2026-08-30
Heigre	family	Q45305861	2026-08-27
Morlanda	family	Q141223484	2026-08-30
Nyvold	family	Q33868252	2026-08-27
Ronneberg	family	Q37504456	2026-08-27
Sør-Reime	family	Q141189041	2026-08-30
Tunheim	family	Q36927172	2026-08-27
Bergersen	patronymic	Q141189030	2026-08-30
Eivindsdatter	patronymic	Q141189042	2026-08-27
Eivindsen	patronymic	Q141189045	2026-08-27
Eriksdatter	patronymic	Q141223487	2026-08-30
Fersen	patronymic	Q141223488	2026-08-30
Gundersen	patronymic	Q141223748	2026-08-30
Hansdatter	patronymic	Q141223482	2026-08-30
Jonsdatter	patronymic	Q141189036	2026-08-30
Olsen	patronymic	Q141223473	2026-08-30
Rasmusdatter	patronymic	Q141223475	2026-08-30
