file	steps	with_relation	to_id	first	last	bytes
Geni - Barack H. Obama, 44th President of the USA is related to Michael Jackson!.htm	18	17	6000000010349180549	Michael Jackson	Barack H. Obama, 44th President of the USA	86350
Geni - Confucius 孔 (子姓) (-551--479)- Jining.htm	81	80	6000000011249640031	You	Confucius 孔子	233050
Geni - Emperor Jimmu no Mikoto (-711--585)- Kashihara.htm	109	108	6000000001829589817	NN Father of Huaxu	Emperor Jimmu	250687
Geni - Genealogy - Geni - prince of Korea.htm	101	100	6000000028895625641	NN Father of Huaxu	<private> 구 (이	162400
Geni - Genealogy - Geni - private profile.htm	236	234	6000000009765734452	NN Father of Huaxu	Liu Yao 刘杳 (🇨🇳 Geni Curator	392199
Geni - Genealogy - Geni - private profile1.htm	64	63	6000000028895625641	NN	<private> 구 (이	133817
Geni - Genealogy - Geni - privateiii profile.htm	69	68	6000000009765734452	NN	Liu Yao 刘杳 (🇨🇳 Geni Curator	225129
Geni - Hodaviah .htm	56	55	6000000008636268768	Yosef ben Shlomo ibn ʿAwkal, Nasi, al-Romi	Hodaviah .	191448
Geni - I huwan 奕譞 ([Aisin Gioro]), Prince Chun (1840-1891).htm	230	228	6000000009796546841	NN	I huwan 奕譞, Prince Chun	404268
Geni - I huwan 奕譞, Prince Chun is related to NN!.htm	139	138	6000000009796546841	NN	I huwan 奕譞, Prince Chun	176485
Geni - Ilpo Kalevi Kunnari is related to Eric Larsson af Kumo!.htm	18	17	6000000017063013627	Eric Larsson af Kumo	Ilpo Kalevi Kunnari	83985
Geni - Iry-Hor (c.-3235--3190).htm	185	184	6000000009562419205	NN Father of Huaxu	Iry-Hor, Pharaoh of Egypt	281517
Geni - Jacques I, King of Cyprus is related to NN!.htm	97	96	6000000006101354494	NN	Jacques I, King of Cyprus	145811
Geni - Jacques I, King of Cyprus is relatedee to NN!.htm	97	96	6000000006101354494	NN	Jacques I, King of Cyprus	145875
Geni - Jacques de Lusignan, King of Cyprus (1334-1398)- Nicosia.htm	225	223	6000000006101354494	NN Father of Huaxu	Jacques I, King of Cyprus	364468
Geni - Maria Gertrudis Santos-Coy Garza-Falcón.htm	53	51	6000000226501769838	NN	Maria Gertrudis Santos-Coy Garza-Falcón	167877
Geni - NN Father of Huaxu.htm	152	151	6000000227036719829	NN	NN Father of Huaxu	237762
Geni - NN.htm	115	114	6000000227713229918	NN Father of Huaxu	NN	205884
Geni - Pehr Gustaf Svinhufvud af Qvalstad, Jr is related to Eric Larsson af Kumo!.htm	15	14	6000000001004864731	Eric Larsson af Kumo	Pehr Gustaf Svinhufvud af Qvalstad, Jr	83403
Geni - Puyi [Aisin Gioro], the last Emperor of China (1906-1967).htm	131	130	6000000009796535956	NN Father of Huaxu	Puyi [Aisin Gioro], the last Emperor of China	306921
Geni - Scorpion I (c.-3305-d.).htm	177	176	6000000209058145828	NN	Scorpion I	263202
Geni - Solomon King of Israel.htm	240	239	6000000210521125824	NN Father of Huaxu	Solomon King of Israel	321628
Geni - Solomon King of Israelssss.htm	193	192	6000000210521125824	NN	Solomon King of Israel	279491
Geni - Temüjin Borjigin (Khan), Khagan oooof the Mongol Empire (c.1162-1227).htm	36	35	375784306260002721	You	Genghis Khan of the Mongol Empire	277387
Geni - Un Yi (1897-1970).htm	107	106	6000000028856413461	NN Father of Huaxu	Yi Un, Crown Prince of Korea	232419
Geni - Vidarbha is related to NN Father of Huaxu!.htm	171	170	6000000022631921351	NN Father of Huaxu	Vidarbha	201635
Geni - Vidarbha.htm	171	170	6000000022631921351	NN Father of Huaxu	Vidarbha	259176
Geni - _private_ 구 (이) is related to NN!.htm	64	63	6000000028895625641	NN	<private> 구 (이	118199
Geni - 【(劉佳)】 翠妍 (1867-1925).htm	91	90	6000000009796654866	NN	翠妍	210880
Geni - 【(瓜爾佳)】 榮祿 (仲華) (1836-1903).htm	91	90	6000000009796689882	NN	榮祿 (仲華	315130
Geni - 劉氏.htm	91	90	6000000013714125009	NN	劉氏	196973
Geni - 孔垂長.htm	252	250	6000000011250415526	NN Father of Huaxu	Kung Tsui-chang 孔垂長	334012
Geni - 李㷩 (聖臨) (1852-1919).htm	108	107	6000000028265159018	NN Father of Huaxu	조선 26대 고종 이희	258906
Geni - 이 방 자 (dddddd梨本) (1901-1989).htm	64	63	6000000029966242759	NN	이방자	180372
Geni - 이 방 자 (梨本) (1901-1989).htm	100	99	6000000029966242759	NN Father of Huaxu	이방자	207625
Geni - 이 이 (1871-1871).htm	109	108	6000000028847084830	NN Father of Huaxu	왕자	228307
Geni - 이 척 (이) (1874-1926).htm	109	108	6000000028714712399	NN Father of Huaxu	조선 27대 순종 척	253003
puyi nn tibet.htm	231	229	6000000009796535956	NN	Puyi [Aisin Gioro], the last Emperor of China	377444
