qid	label	geni_ids	geni_source	position
Q41178	Haile Selassie I	6000000003957630238	live	Q10962705
Q59761	Tekle Giyorgis II			Q10962705
Q127112	Sarwe Iyasus			Q10962705
Q136652	Za Dengel			Q10962705
Q147677	Zara Yaqob	6000000009687941284	live	Q10962705
Q148524	Zewditu I of Ethiopia			Q10962705
Q150642	Victor Emmanuel III of Italy	376469227150012924	live	Q10962705
Q191549	Zera Yacob, Crown Prince of Ethiopia			Q10962705
Q244748	Menilek II			Q10962705
Q262589	Tewodros II			Q10962705
Q278808	Hezqeyas			Q10962705
Q298216	Taytu Betul			Q10962705
Q315659	Yohannes IV			Q10962705
Q324688	Na'od	6000000009687440092	live	Q10962705
Q328495	Wedem Arad	6000000009687862020	live	Q10962705
Q342818	Takla Maryam			Q10962705
Q342829	Gigar			Q10962705
Q342847	Yetbarak			Q10962705
Q342894	Yonas			Q10962705
Q343684	Harbai			Q10962705
Q343695	Iyoas II			Q10962705
Q343700	Mairari			Q10962705
Q343708	Iyoas I			Q10962705
Q343713	Newaya Maryam			Q10962705
Q343719	Salomon II			Q10962705
Q343723	Tekle Haymanot II			Q10962705
Q343733	Demetros			Q10962705
Q365687	Menelik I			Q10962705
Q379889	Iyasu V			Q10962705
Q460316	Amda Iyasus			Q10962705
Q460332	Amda Seyon II			Q10962705
Q460342	Amda Seyon I	6000000009687922295	live	Q10962705
Q470528	Amha Selassie	6000000002491551942	live	Q10962705
Q471332	Gebre Mesqel Lalibela			Q10962705
Q495619	Andreyas			Q10962705
Q558437	Lebna Dengel	6000000009687838414	live	Q10962705
Q581685	Yeshaq I			Q10962705
Q611063	Yohannes III			Q10962705
Q642265	Fasiladas			Q10962705
Q659242	Menas of Ethiopia			Q10962705
Q711866	Yostos			Q10962705
Q713338	Eskender			Q10962705
Q716024	Dawit I	6000000009687948287	live	Q10962705
Q716109	Yemrehana Krestos			Q10962705
Q716286	Tekle Haymanot I			Q10962705
Q716403	Iyasu III			Q10962705
Q717219	Salomon III			Q10962705
Q717778	Kedus Harbe			Q10962705
Q725222	Yaqob			Q10962705
Q732878	Bakaffa			Q10962705
Q733163	Baeda Maryam I	6000000009687950258	live	Q10962705
Q733750	Egwale Seyon			Q10962705
Q735638	Iyasu II			Q10962705
Q736112	Newaya Krestos	6000000009687933443	live	Q10962705
Q736179	Na'akueto La'ab			Q10962705
Q738321	Susenyos			Q10962705
Q797415	Baeda Maryam II			Q10962705
Q797420	Ba’eda Mariam III.			Q10962705
Q881197	Yohannes II			Q10962705
Q887412	Tewoflos			Q10962705
Q887434	Tekle Haymanot			Q10962705
Q887763	Sarsa Dengel			Q10962705
Q887840	Dawit III			Q10962705
Q887847	Gelawdewos			Q10962705
Q887998	Yagbe'u Seyon			Q10962705
Q888003	Yekuno Amlak	6000000009687829485	live	Q10962705
Q888011	Iyasu I			Q10962705
Q888016	Tewodros I			Q10962705
Q888036	Yohannes I			Q10962705
Q888067	Sahle Dengel			Q10962705
Q888079	Iyasu IV			Q10962705
Q888086	Gebre Krestos			Q10962705
Q888639	Jan Seyum			Q10962705
Q888773	Tatadim			Q10962705
Q888848	Tekle Giyorgis I			Q10962705
Q888871	Germa Seyum			Q10962705
Q913749	Menen Asfaw	6000000003957676451	live	Q10962705
Q1270024	Gudit			Q10962705
Q1661138	Na'od II			Q10962705
Q2541068	Walda Giyorgis			Q10962705
Q2842498	Amda Seyon			Q10962705
Q2869831	Atse Baeda Maryam			Q10962705
Q2869833	Atse Iyasu			Q10962705
Q2869837	Atse Hezqeyas			Q10962705
Q2901157	Yeshaq Iyasu			Q10962705
Q2901164	Nebahne Yohannes			Q10962705
Q2905074	Eleni of Ethiopia			Q10962705
Q3049262	Egwale Anbesa			Q10962705
Q3135105	Hezba Asgad			Q10962705
Q3179180	Jin Asgad			Q10962705
Q3339358	Susenyos II			Q10962705
Q3460448	Saba Asgad			Q10962705
Q3478545	Senfa Ared IV			Q10962705
Q3514357	Tekle Haymanot of Gondar			Q10962705
Q4677443	Actisanes			Q10962705
Q8054823	Yolyos			Q10962705
Q17464697	Qedma Asgad			Q10962705
Q27980806	Nigist Fura			Q10962705
