geni_id	label	why
6000000006127529101		Wikidata already links this profile as Q16650224 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006127177059		Wikidata already links this profile as Q5779454 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000031212725340		Wikidata already links this profile as Q1712821 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000008780472272		Wikidata already links this profile as Q22116674 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000019022609399		Wikidata already links this profile as Q99561844 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000000186421249		Wikidata already links this profile as Q328700 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006127564569		Wikidata already links this profile as Q64578344 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006127542837		Wikidata already links this profile as Q133823809 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006127699393		Wikidata already links this profile as Q111189926 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000010694502644		Wikidata already links this profile as Q116184293 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000009551893179		Wikidata already links this profile as Q6054449 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000015519018144		Wikidata already links this profile as Q104007798 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000001198751004		Wikidata already links this profile as Q725206 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000004974372122		Wikidata already links this profile as Q6175684 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006645290002		Wikidata already links this profile as Q993166 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000024160473725		Wikidata already links this profile as Q64604773 (out/wikidata/p2600-all.tsv) - creating it would duplicate
5475363828490111452		Wikidata already links this profile as Q81212 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007633045566		Wikidata already links this profile as Q14523260 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006636594711		Wikidata already links this profile as Q18347113 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000010888193282		Wikidata already links this profile as Q131729966 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000003260452373		Wikidata already links this profile as Q42903921 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000009005099317		Wikidata already links this profile as Q6062266 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007964518630		Wikidata already links this profile as Q5795477 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007400136785		Wikidata already links this profile as Q5813731 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000001603548135		Wikidata already links this profile as Q2874754 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006429785063		Wikidata already links this profile as Q138094850 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000011399359898		Wikidata already links this profile as Q19828084 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000010762676675		Wikidata already links this profile as Q18238102 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000000127632175		Wikidata already links this profile as Q6176220 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007464386541		Wikidata already links this profile as Q5779121 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000012011854293		Wikidata already links this profile as Q53092130 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000012641538298		Wikidata already links this profile as Q18326058 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000008913673191		Wikidata already links this profile as Q980778 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006329418862		Wikidata already links this profile as Q16649186 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000019866708324		Wikidata already links this profile as Q136383956 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000021770113050		Wikidata already links this profile as Q1691914 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000008920828423		Wikidata already links this profile as Q5712222 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000012641197457		Wikidata already links this profile as Q139033448 (out/wikidata/p2600-all.tsv) - creating it would duplicate
342033628020004274		Wikidata already links this profile as Q99301832 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000011921590567		Wikidata already links this profile as Q47008162 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007377863206		Wikidata already links this profile as Q14558299 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000009983821409		Wikidata already links this profile as Q116976568 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000011700725465		Wikidata already links this profile as Q5802592 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000012898629870		Wikidata already links this profile as Q792450 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007522132708		Wikidata already links this profile as Q55107581 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000011399338711		Wikidata already links this profile as Q99301829 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000003110862366		Wikidata already links this profile as Q140373616 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006703703342		Wikidata already links this profile as Q128043764 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007318319403		Wikidata already links this profile as Q19577827 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006127373856		Wikidata already links this profile as Q16596483 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000011049179542		Wikidata already links this profile as Q1371153 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000000981847842		Wikidata already links this profile as Q98178821 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000004028320232		Wikidata already links this profile as Q16649635 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000008915251443		Wikidata already links this profile as Q136383961 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006127446346		Wikidata already links this profile as Q6079209 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000002954158176		Wikidata already links this profile as Q449478 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000000410540855		Wikidata already links this profile as Q28048950 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000005021830799		Wikidata already links this profile as Q140425963 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007625025339		Wikidata already links this profile as Q19825972 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000000572202632		Wikidata already links this profile as Q19420958 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007680282493		Wikidata already links this profile as Q5626160 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000002837587043		Wikidata already links this profile as Q12320809 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007884319379		Wikidata already links this profile as Q133859298 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006913159790		Wikidata already links this profile as Q50347306 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000003534612500		Wikidata already links this profile as Q1453246 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000012749201708		Wikidata already links this profile as Q53092262 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006892321669		Wikidata already links this profile as Q6184910 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000010895962441		Wikidata already links this profile as Q6190322 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007400310978		Wikidata already links this profile as Q64808959 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000008325024229		Wikidata already links this profile as Q5805065 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000003715297906		Wikidata already links this profile as Q234410 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000004595255227		Wikidata already links this profile as Q6188812 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000007464089988		Wikidata already links this profile as Q4358870 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000005583598693		Wikidata already links this profile as Q140387943 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000006127523485		Wikidata already links this profile as Q128157176 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000001603193592		Wikidata already links this profile as Q2403800 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000008541684290		Wikidata already links this profile as Q3718839 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000008496890934		Wikidata already links this profile as Q6167372 (out/wikidata/p2600-all.tsv) - creating it would duplicate
6000000000726066025		Wikidata already links this profile as Q140373631 (out/wikidata/p2600-all.tsv) - creating it would duplicate
