qid	geni_id
Q3044	6000000002457013227
Q9738	6000000002188099903
Q29201	6000000001381274001
Q31647	6000000002188140679
Q39996	6000000002187991201
Q43974	6000000001266578142
Q59588	6000000008640492844
Q60366	6000000009616135019
Q64802	6000000007663844787
Q68247	6000000002187805225
Q68377	6000000024528459501
Q69947	6000000007608491517
Q70899	6000000201847373856
Q76028	6000000007287682123
Q76081	6000000002187794955
Q77601	6000000009695333621
Q77915	6000000007483243624
Q86052	6000000007417306400
Q88207	6000000002188018296
Q101877	6000000006727790251
Q102010	6000000225223584852
Q111559	6000000012126473179
Q121005	6000000002188292474
Q122479	6000000000307274628
Q125989	6000000008575245445
Q128371	6000000008659107006
Q129912	6000000018379174950
Q130717	6000000014740730166
Q155244	6000000089574766839
Q160213	6000000009704869636
Q167200	6000000008021045465
Q176912	6000000006101234567
Q178823	6000000007412720498
Q185496	6000000002188579032
Q191114	6000000009514160940
Q198180	6000000001381123265
Q246072	6000000006444102296
Q246091	6000000013255684540
Q249971	6000000000742757089
Q251752	6000000003087193552
Q254545	6000000000769926059
Q256048	6000000041234103122
Q264233	6000000013994320720
Q273181	4927821238910067084
Q274606	6000000001669654269
Q276248	6000000012273073209
Q280722	6000000010018994260
Q285840	6000000127379511821
Q287656	6000000008049027781
Q298628	6000000006101240144
Q299387	6000000014411551323
Q299618	6000000009967554743
Q310435	6000000002205613665
Q313179	6000000002188309221
Q313336	6000000130192002822
Q313342	6000000195149451825
Q313559	6000000037347655783
Q313883	6000000006101322866
Q314521	6000000005936551695
Q314809	6000000009562419205
Q318613	6000000209058145828
Q323126	6000000015871436066
Q324234	6000000003097932979
Q324783	6000000001962224550
Q326817	6000000007287500917
Q330252	6000000012158871537
Q334111	6000000028714712399
Q339658	6000000013790902482
Q343674	6000000007484173264
Q347484	6000000008565564291
Q352035	6000000074177759931
Q354300	305960689340007097
Q355579	6000000004533503115
Q359687	6000000006944289080
Q363110	6000000041395863975
Q364925	6000000062327266022
Q369651	6000000000424851381
Q378177	6000000001412935350
Q378702	6000000000307280479
Q380380	6000000000680981057
Q387368	6000000003086706954
Q432490	6000000011638357492
Q435781	6000000013237452604
Q436302	6000000003513161620
Q441547	6000000000320798442
Q442624	6000000015236288589
Q442630	6000000015116992968
Q450894	6000000011050675449
Q451893	6000000007024351314
Q455044	6000000006444086855
Q463997	6000000031291002973
Q464573	6000000008612278529
Q466257	4258970970100070152
Q466780	6000000074824947825
Q469013	6000000009239466405
Q473280	6000000012762645030
Q473500	6000000002187684358
Q475094	6000000002187828223
Q475962	6000000002187723189
Q478034	6000000001500928354
Q484866	6000000028856413461
Q491219	6000000054170057190
Q496421	6000000028895625641
Q498352	6000000000337169534
Q504792	6000000002187684879
Q504797	4953790471090069116
Q506060	6000000002187828384
Q508327	6000000010028822667
Q511541	6000000000708816640
Q513087	6000000005232268245
Q515731	6000000010609514111
Q520568	6000000014037796607
Q526667	6000000169750023873
Q528666	6000000002187845537
Q544106	6000000003421236631
Q557302	6000000015250487075
Q565581	6000000008200026228
Q566463	6000000217230885848
Q567640	6000000007976002018
Q571179	6000000000437178030
Q576388	6000000003645877522
Q602484	6000000081202424912
Q603365	6000000020866567619
Q612669	6000000016838683360
Q660336	6000000013363233248
Q668338	6000000001980087195
Q687232	6000000080004409877
Q704776	6000000008047760179
Q704992	6000000014812029943
Q707581	6000000003492201868
Q708191	6000000001501047972
Q708932	6000000003369451241
Q716713	6000000015519966153
Q721756	6000000002481253260
Q727889	6000000005032964330
Q745160	6000000003645908647
Q750636	6000000006574739238
Q751555	6000000058828989091
Q768049	6000000021235198892
Q797699	6000000022552484128
Q808499	6000000006727821688
Q818588	6000000005077386951
Q819556	6000000003485847175
Q823177	6000000006727823207
Q825311	6000000003413439886
Q828346	6000000082813823834
Q854240	6000000006727869026
Q873218	6000000006727826781
Q886688	6000000041039572315
Q890789	6000000030835564326
Q910463	6000000014875326529
Q928894	6000000015844515529
Q929593	6000000011352110987
Q933505	6000000001563350714
