qid,geni_id,name,date,note
Q108673638,6000000076005021009,Margreta Behm,2026-09-01,given in conversation; geni.com/people/Margareta-Behm/6000000076005021009
Q139997218,6000000004577963540,Albrecht Jonsson Behm,2026-09-01,given in conversation; geni.com/people/Albrecht-Jonsson-Behm/6000000004577963540
Q24878983,6000000007167514905,Carl Roos af Hjelmsäter,2026-09-14,"pastebin npAiDNLg, given in conversation; geni.com/people/x/6000000007167514905"
Q141147977,6000000023826069701,Magnus Lagerlöf,2026-09-14,"pastebin npAiDNLg, given in conversation; geni.com/people/x/6000000023826069701"
Q124866449,6000000006963057128,Teodor Hammargren,2026-09-14,"pastebin npAiDNLg, given in conversation; geni.com/people/x/6000000006963057128"
Q98697636,6000000004306824607,Karl Johan Wallroth,2026-09-14,"pastebin npAiDNLg, given in conversation; geni.com/people/x/6000000004306824607"
Q52674218,6000000007264182947,Elisabeth Lagerlöf,2026-09-14,"pastebin npAiDNLg, given in conversation; geni.com/people/x/6000000007264182947"
Q52674621,6000000007264370246,Erik Gustaf Lagerlöf,2026-09-14,"pastebin npAiDNLg, given in conversation; geni.com/people/x/6000000007264370246"
Q112311423,6000000011146855374,Karl Daniel Lagerlöf,2026-09-14,"pastebin npAiDNLg, given in conversation; geni.com/people/x/6000000011146855374"
Q90238048,6000000008987223854,Erik von Nolcken,2026-09-14,"pastebin npAiDNLg, given in conversation; geni.com/people/x/6000000008987223854"
Q19976845,6000000005774368518,Arvid von Nolcken,2026-09-14,"pastebin npAiDNLg, given in conversation; geni.com/people/x/6000000005774368518"
Q125692055,6000000010008038238,Katharina Louise Gfin von Münnich,2026-09-14,"pastebin npAiDNLg, given in conversation; geni.com/people/x/6000000010008038238"
Q97649921,6000000012922813777,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q140068848,6000000206513305540,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q112629867,6000000006952612472,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q136532810,6000000007304410654,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q110894017,6000000006602861452,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q25370462,6000000002797429054,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
