qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q923,Q12308941,Alexander,Alexander,アレグザンダー,亚历山大,알렉산드로스,ألكسندر,אלכסנדר,Александр,Alexander,,,,,,Alexander,Alexander,Alexander,,
Q20187,Q11879590,Ольга,Olga,オルガ,奥莉加,,أولغا,אולגה,Ольга,Olga,Olga,Olga,Olga,Ol'ga,Olga,Olga,Olga,Olga,Olga,Olga
Q25611,Q11879590,Gyöngyi,Gyöngyi,ジェンジ,,,,,,Gyöngyi,,,,,,,,,,
Q80347,Q11879590,Hiltrud,Hiltrud,,,,,,,Hiltrud,Hiltrud,Hiltrud,Hiltrud,Hiltrud,Hiltrud,Hiltrud,Hiltrud,Hiltrud,Hiltrud,Hiltrud
Q120715,Q101352,Nordmann,Nordmann,ノードマン,,,,,Нордман,Nordmann,,,,,,,,,,
Q123659,Q101352,נתניהו,Netanyahu,ネタニヤフ,内塔尼亚胡,네타냐후,نتنياهو,,Нетаньяху,Netanjahu,Netanyahou,Netanyahu,Netanyahu,Netanyahu,Netanyahu,,,Netanyahu,Netanjahu,Netanjahu
Q143995,Q11879590,Sonya,Sonya,ソーニャ,索妮娅 (名字),,سونيا,סוניה,Соня,Sonya,Sonya,Sonya,Sonya,Sonya,Sonya,Sonya,Sonya,Sonya,Sonya,Sonya
Q151499,Q3409032,Stacy,Stacy,ステイシー,斯泰西/斯泰茜,,ستايسي,סטייסי,Стэйси,Stacy,Stacy,Stacy,Stacy,Stacy,Stacy,Stacy,Stacy,Stacy,Stacy,Stacy
Q164011,Q101352,Matthiessen,,,马西森 (姓氏),,ماتيسن,,,,,,,,,,,,,
Q164555,Q11879590,Bożena,Bożena,,波泽纳,,بوجينا,בוז'נה,Божена,Bożena,Bożena,Bożena,Bożena,Bożena,Bożena,Bożena,Bożena,Bożena,Bożena,Bożena
Q167755,Q11879590,Astrid,Astrid,アストリッド,阿斯特丽德,,أستريد,אסטריד,Астрид,Astrid,Astrid,Astrid,Astrid,Astrid,Astrid,Astrid,Astrid,,Astrid,
Q169147,Q101352,Zdovc,,,,,,,Здовц,,,,,,,,,,,
Q197531,Q12308941,Zhe,Zhe,,,,,,,Zhe,Zhe,Zhe,Zhe,Zhe,Zhe,Zhe,Zhe,Zhe,Zhe,Zhe
Q205067,Q101352,Zinner,Zinner,ツィナー,津纳,,زينر,,Циннер,Zinner,Zinner,Zinner,Zinner,Zinner,Zinner,Zinner,Zinner,Zinner,Zinner,Zinner
Q212187,Q101352,Huba,Huba,ヒューバ,,,,,,Huba,Huba,Huba,Huba,Huba,Huba,Huba,Huba,Huba,Huba,Huba
Q218363,Q101352,Zoghbi,Zoghbi,,佐格比,,الزغبي,,,Zoghbi,Zoghbi,Zoghbi,Zoghbi,Zoghbi,Zoghbi,Zoghbi,Zoghbi,Zoghbi,Zoghbi,Zoghbi
Q225099,Q12308941,さぶろう,Saburō,さぶろう,,사부로,,,,Saburo,Saburō,Saburō,Saburo,Saburo,Saburo,Saburo,Saburo,Saburo,Saburo,Saburo
Q227195,Q11879590,Zsa Zsa,Zsa Zsa,,莎莎,,,ז'ה ז'ה,,Zsa Zsa,Zsa Zsa,Zsa Zsa,Zsa Zsa,Zsa Zsa,Zsa Zsa,Zsa Zsa,Zsa Zsa,Zsa Zsa,Zsa Zsa,Zsa Zsa
Q229227,Q11879590,Carola,Carola,カローラ,卡萝拉,,كارولا,קרולה,Карола,Carola,Carola,Carola,Carola,Carola,Carola,Carola,Carola,Carola,Carola,Carola
Q240683,Q101352,Klemm,Klemm,クレム,克莱姆,,,,Клемм,Klemm,Klemm,Klemm,Klemm,Klemm,Klemm,Klemm,Klemm,Klemm,Klemm,Klemm
Q250267,Q11879590,Nora,Nora,ノーラ,诺拉,,نورا,נורה,Нора,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora,Nora
Q262891,Q11879590,Vjenceslava,Vjenceslava,,维延采斯拉娃,,,,,Vjenceslava,Vjenceslava,Vjenceslava,Vjenceslava,Vjenceslava,Vjenceslava,Vjenceslava,Vjenceslava,Vjenceslava,Vjenceslava,Vjenceslava
Q265867,Q12308941,Darius,Darius,ダリウス,达里乌斯,,داريوس,דריוס,Дариус,Darius,Darius,Darius,Darius,Darius,Darius,Darius,Darius,Darius,Darius,Darius
Q266891,Q101352,Borlée,Borlée,,,,بورليه,בורלה,Борле,Borlée,Borlée,Borlée,Borlée,Borlée,Borlée,Borlée,Borlée,Borlée,Borlée,Borlée
Q269339,Q11879590,Fruzsina,Fruzsina,フルツィナ,,,,,,Fruzsina,Fruzsina,Fruzsina,Fruzsina,Fruzsina,Fruzsina,Fruzsina,Fruzsina,Fruzsina,Fruzsina,Fruzsina
