token,usage,bearers,script,marker,existing_qid,action
Maria,given,6251,Latin,,,"AMBIGUOUS - review, do not create"
Anna,given,4029,Latin,,,"AMBIGUOUS - review, do not create"
John,given,3317,Latin,,,"AMBIGUOUS - review, do not create"
陳,family,3247,Han,,,create
María,given,3230,Latin,,,"AMBIGUOUS - review, do not create"
William,given,2666,Latin,,Q12344159,link
Mary,given,2585,Latin,,,"AMBIGUOUS - review, do not create"
Elizabeth,given,2495,Latin,,,"AMBIGUOUS - review, do not create"
Anne,given,2470,Latin,,,"AMBIGUOUS - review, do not create"
Juan,given,2469,Latin,,,"AMBIGUOUS - review, do not create"
Marie,given,2425,Latin,,,"AMBIGUOUS - review, do not create"
Joseph,given,2403,Latin,,Q15297160,link
曾,family,2263,Han,,,create
Thomas,given,2015,Latin,,,create
Francisco,given,1961,Latin,,Q7201446,link
Pedro,given,1903,Latin,,Q15897419,link
Olsdatter,patronymic,1622,Latin,sdatter,Q51885688,link
Garza,family,1610,Latin,,,create
Samuel,given,1592,Latin,,Q629347,link
Hans,given,1587,Latin,,,create
Antonio,given,1575,Latin,,Q7141520,link
/,given,1501,none,,,create
José,given,1492,Latin,,,"AMBIGUOUS - review, do not create"
Isabel,given,1490,Latin,,Q4218918,link
Ole,given,1440,Latin,,Q2097883,link
James,given,1407,Latin,,,"AMBIGUOUS - review, do not create"
Lars,given,1389,Latin,,Q15635262,link
Sarah,given,1358,Latin,,,create
Anders,given,1348,Latin,,Q8843357,link
Ana,given,1323,Latin,,Q482671,link
Johan,given,1320,Latin,,Q10989273,link
David,given,1292,Latin,,Q29937870,link
Henry,given,1284,Latin,,,create
Robert,given,1279,Latin,,,"AMBIGUOUS - review, do not create"
Jean,given,1279,Latin,,,"AMBIGUOUS - review, do not create"
隴西狄道,family,1264,Han,,,create
Peder,given,1260,Latin,,Q10622039,link
Chén,family,1245,Latin,,Q65925803,link
Jacob,given,1235,Latin,,Q25999604,link
Elisabeth,given,1218,Latin,,Q63611044,link
Juana,given,1203,Latin,,Q10862524,link
Ann,given,1191,Latin,,Q558067,link
Olsen,given,1147,Latin,,Q107321411,link
Abraham,given,1142,Latin,,,"AMBIGUOUS - review, do not create"
藤原,family,1128,Han,,,create
Ingeborg,given,1114,Latin,,Q656590,link
Rd.,given,1112,Latin,,,create
Charles,given,1107,Latin,,Q2958359,link
Karen,given,1096,Latin,,,"AMBIGUOUS - review, do not create"
Isaac,given,1093,Latin,,Q5920537,link
George,given,1089,Latin,,,"AMBIGUOUS - review, do not create"
Raden,given,1051,Latin,,,create
Johannes,given,1027,Latin,,Q2117521,link
Richard,given,1010,Latin,,Q1249148,link
Jane,given,1000,Latin,,Q1682564,link
Jose,given,999,Latin,,,"AMBIGUOUS - review, do not create"
João,given,994,Latin,,Q16916120,link
Francisca,given,987,Latin,,Q15208593,link
Josefa,given,981,Latin,,Q617272,link
Pedersdatter,patronymic,973,Latin,sdatter,,create
Erik,given,964,Latin,,Q750186,link
Jeanne,given,950,Latin,,Q2438057,link
Margaret,given,939,Latin,,Q4963612,link
Salomon,given,916,Latin,,Q18421743,link
이,family,900,Hangul,,,create
Moses,given,884,Latin,,Q13554012,link
김,family,880,Hangul,,,create
Karl,given,862,Latin,,Q136771753,link
Heinrich,given,849,Latin,,Q2018484,link
NR.,given,839,Latin,,,create
González,family,838,Latin,,Q5576697,link
Ola,given,838,Latin,,,"AMBIGUOUS - review, do not create"
Larsdatter,patronymic,831,Latin,sdatter,,create
Nils,given,824,Latin,,Q16423038,link
Teresa,given,819,Latin,,Q2793617,link
Hansdatter,patronymic,810,Latin,sdatter,,create
Sophie,given,810,Latin,,Q14942517,link
Sara,given,798,Latin,,Q833345,link
Diego,given,794,Latin,,Q3579048,link
Maren,given,783,Latin,,Q1666203,link
Manuel,given,773,Latin,,,"AMBIGUOUS - review, do not create"
Jens,given,769,Latin,,Q2246251,link
河南洛陽,family,766,Han,,,create
Guillaume,given,754,Latin,,,"AMBIGUOUS - review, do not create"
R.,given,747,Latin,,Q19803517,link
Catherine,given,736,Latin,,Q2218095,link
Johanna,given,734,Latin,,Q4120836,link
Martin,given,728,Latin,,,"AMBIGUOUS - review, do not create"
Simon,given,723,Latin,,,"AMBIGUOUS - review, do not create"
Leonor,given,723,Latin,,Q1819473,link
Antonia,given,721,Latin,,Q2363857,link
松平,family,719,Han,,,create
Carl,given,699,Latin,,Q2529610,link
Martha,given,691,Latin,,,create
Andersdatter,patronymic,687,Latin,sdatter,,create
Pangeran,given,681,Latin,,,create
Marguerite,given,680,Latin,,,create
Pedersen,given,678,Latin,,,create
Inger,given,673,Latin,,Q3358452,link
Johanne,given,672,Latin,,Q1477757,link
Jon,given,669,Latin,,Q13501137,link
Jakob,given,668,Latin,,,create
1,given,652,none,,Q199,link
Louis,given,651,Latin,,Q97156058,link
Edward,given,644,Latin,,Q278835,link
Wife,given,641,Latin,,,create
Rasmus,given,638,Latin,,Q1785744,link
Miguel,given,635,Latin,,Q15620295,link
Margrethe,given,626,Latin,,Q17458337,link
Hannah,given,619,Latin,,,"AMBIGUOUS - review, do not create"
Marta,given,612,Latin,,Q846741,link
Andreas,given,609,Latin,,,"AMBIGUOUS - review, do not create"
京兆長安,family,603,Han,,,create
Alice,given,601,Latin,,Q650689,link
Flores,family,596,Latin,,Q1397072,link
Albert,given,595,Latin,,,"AMBIGUOUS - review, do not create"
Niels,given,594,Latin,,Q2001572,link
Agnes,given,593,Latin,,Q394431,link
Muhammad,given,588,Latin,,Q5837762,link
Cahen,family,586,Latin,,Q21507093,link
Julius,given,586,Latin,,Q1102114,link
Daniel,given,583,Latin,,Q53787734,link
Berta,given,565,Latin,,Q4092653,link
Борджигин,family,561,Cyrillic,,,create
Catalina,given,552,Latin,,Q5051251,link
Gómez,family,549,Latin,,Q1559123,link
Jensdatter,patronymic,547,Latin,sdatter,,create
Mas,given,546,Latin,,,create
Otto,given,545,Latin,,Q18029644,link
Nathan,given,543,Latin,,Q11167678,link
