token	usage	people
Anna	given	18
Lars	given	11
Margareta	given	10
Ingeborg	given	9
Johan	given	9
Jonsdatter	patronymic	8
Maria	given	8
Ola	given	8
Anders	given	7
Erik	given	7
Olsdatter	patronymic	7
Gustaf	given	6
Hans	given	6
Pedersdatter	patronymic	6
Rasmus	given	6
Berit	given	5
Brita	given	5
Carl	given	5
Catharina	given	5
Christina	given	5
Ole	given	5
Olsen	patronymic	5
Peder	given	5
Per	given	5
Berta	given	4
Charlotta	given	4
Gjesdal	family	4
Helena	given	4
Håland	family	4
Johansson	family	4
Jon	given	4
Larsdatter	patronymic	4
Larsson	family	4
Märta	given	4
Olaus	given	4
Olson	patronymic	4
Pederson	patronymic	4
Risa	family	4
Sara	given	4
Siri	given	4
Stangaland	family	4
Vik	family	4
Abraham	given	3
Adolf	given	3
Anne	given	3
Borsheim	family	3
Broman	family	3
Eleonora	given	3
Eli	given	3
Grannes	family	3
Grude	family	3
Hansdatter	patronymic	3
Hedvig	given	3
Ims	family	3
Jakob	given	3
Johansson	patronymic	3
Kari	given	3
Kyllingstad	family	3
Larsen	patronymic	3
Larsson	patronymic	3
Lea	family	3
Leijonhufvud	family	3
Marta	given	3
Mæle	family	3
N.	given	3
Nilsdatter	patronymic	3
Nordin	family	3
Opstad	family	3
Petrus	given	3
Rasmusdatter	patronymic	3
Raunes	family	3
Sigrid	given	3
Sissel	given	3
Stokka	family	3
Torland	family	3
Tørresdatter	patronymic	3
Vilhelm	given	3
Øksnevad	family	3
Andersdatter	patronymic	2
Andersson	patronymic	2
Andreæ	family	2
Arctopolitanus	family	2
Asgautson	patronymic	2
Askola	family	2
Auglend	family	2
Austre	family	2
Benkestok	family	2
Bjørnson	patronymic	2
Bore	family	2
Braut	family	2
Bure	family	2
Dale	family	2
Ebba	given	2
Edvard	given	2
Eivindsdatter	patronymic	2
Elisabet	given	2
Elisabeth	given	2
Elizabeth	given	2
Elsa	given	2
Eriksdatter	patronymic	2
Eriksdotter	patronymic	2
Falkenberg	family	2
Frafjord	family	2
Fredrik	given	2
Fuglestad	family	2
Gabriel	given	2
Gabrielsdatter	patronymic	2
Gabrielsdotter	patronymic	2
Gabrielson	patronymic	2
Gertrud	given	2
Grelsdotter	patronymic	2
Gunvor	given	2
Guri	given	2
Haga	family	2
Hansdotter	patronymic	2
Hansson	patronymic	2
Heinrich	given	2
Helga	given	2
Henrik	given	2
Hornaeus	family	2
Horpestad	family	2
Ingrid	given	2
Ivarson	patronymic	2
Jacob	given	2
Johannes	given	2
Jonsen	patronymic	2
Jonsson	patronymic	2
Karen	given	2
Karlson	patronymic	2
Kleppe	family	2
Knutsdatter	patronymic	2
Knuutila	family	2
Kolnes	family	2
Kristoffer	given	2
Kristoffersen	patronymic	2
Laland	family	2
Larsdotter	patronymic	2
Lauvsnes	family	2
Li	family	2
Malena	given	2
Maren	given	2
Marit	given	2
Mauland	family	2
Mjølsnes	family	2
Moen	family	2
Mork	family	2
Obrestad	family	2
Ogmundson	patronymic	2
Olofsson	patronymic	2
Olsdotter	patronymic	2
Ommundsdatter	patronymic	2
Orm	given	2
Orre	family	2
Pedersen	family	2
Peter	given	2
Posse	family	2
Ragnhild	given	2
Rahm	family	2
Rasmussen	patronymic	2
Regina	given	2
Rossavik	family	2
Rothof	family	2
Sele	family	2
Serina	given	2
Stangeland	family	2
Sundius	family	2
Sveinsvoll	family	2
Svensdatter	patronymic	2
Sømme	family	2
Thomas	given	2
Tolleiv	given	2
Toresdatter	patronymic	2
Torgersdatter	patronymic	2
Torgerson	patronymic	2
Tormodson	patronymic	2
Trondsdatter	patronymic	2
Trystorp	family	2
Turdfjell	family	2
Ualand	family	2
Ulrika	given	2
Vestre	family	2
Vilhelmina	given	2
Wilhelm	given	2
Ødemotland	family	2
Østensdatter	patronymic	2
Abrahamsen	patronymic	1
Adelus	given	1
Adlerstam	family	1
Agnes	given	1
Albertina	given	1
Albrekt	given	1
Alfheid	given	1
Ambjörn	given	1
Amnell	family	1
Anbjørnson	patronymic	1
Ancher	family	1
Andersdotter	patronymic	1
Anderson	family	1
Andreasen	patronymic	1
Andresen	patronymic	1
Anton	given	1
Aronia	family	1
Asbjørnsen	patronymic	1
Asgaut	given	1
Aslak	given	1
Aslaksdatter	patronymic	1
Aslaksen	patronymic	1
Atletveit	family	1
Austvoll	family	1
Axelsson	patronymic	1
Bahr	family	1
Bakka	family	1
Barbro	given	1
Barchaeus	family	1
Barchæus	family	1
Barrildsdotter	patronymic	1
Barsebek	family	1
Barstad	family	1
Bellest	given	1
Bellingen	family	1
Berdines	given	1
Bereta	given	1
Berg	given	1
Berghemia	family	1
Berner	given	1
Bertel	given	1
Bertelsdatter	patronymic	1
Bertha	given	1
Bertrand	given	1
Berwald	family	1
Bidenia	family	1
Birgit	given	1
Birkeland	family	1
Birkland	family	1
Bjorland	family	1
Björkfors	family	1
Bjørheim	family	1
Bjørnsdatter	patronymic	1
Bjørnsson	patronymic	1
Bloch	family	1
Bodil	given	1
Boije	family	1
Bolstad	family	1
Borgar	given	1
Borne	family	1
Boström	family	1
Bozæus	family	1
Brandt	family	1
Bratt	family	1
Brualand	family	1
Brueland	family	1
Brynjulfsson	patronymic	1
Bråstein	family	1
Bu	family	1
Bærheim	family	1
Børildsdatter	patronymic	1
Børildsdotter	patronymic	1
Caiji	given	1
Carlsdotter	patronymic	1
Caroline	given	1
Castorin	family	1
Charles	given	1
Christian	given	1
Christiansen	patronymic	1
Christiernin	family	1
Christoffer	given	1
Christopher	given	1
Dagfinnsen	patronymic	1
Daniel	given	1
Danielsdatter	patronymic	1
Dietenhofen	family	1
Dirdal	family	1
Djurman	family	1
Doms	family	1
Dorotea	given	1
Dorte	given	1
ERNST	given	1
Eddy	given	1
Edenberg	family	1
Ehrenheim	family	1
Eickstedt	family	1
Eilev	given	1
Einarsdatter	patronymic	1
Eivind	given	1
Eivindson	patronymic	1
Elen	given	1
Eliasdotter	patronymic	1
Elisa	given	1
Elisabetha	given	1
Elling	given	1
Elof	given	1
Else	given	1
Emil	given	1
Emmerich	family	1
Emmikesson	patronymic	1
Engebretsdatter	patronymic	1
Engelbrechsson	patronymic	1
Enoksson	patronymic	1
Eric	given	1
Eriksson	patronymic	1
Ersdotter	patronymic	1
Ersson	patronymic	1
Espeland	family	1
Esping	family	1
Eva	given	1
Ewa	given	1
Faltz	family	1
Fanuel	given	1
Felthus	family	1
Felthuusen	family	1
Ferner	family	1
Finn	given	1
Flemming	family	1
Floderus	family	1
Flámula	given	1
Folkvår	family	1
Forssman	family	1
Fosen	family	1
Foss	family	1
Fosse	family	1
Frithjof	given	1
Fryxell	family	1
Gard	given	1
Gautesdatter	patronymic	1
Gauteset	family	1
Gavelia	family	1
Genberg	family	1
Gennäs	family	1
Gerlachsdotter	patronymic	1
Geuschmid	family	1
Geuschmidt	family	1
Gilja	family	1
Gillund	family	1
Gimra	family	1
Gjedrem	family	1
Gjerdrem	family	1
Gjermundsen	patronymic	1
Gode	family	1
Goro	given	1
Govert	given	1
