geni_id	qids	in_our_tree
000000222235507075	Q467604	yes
100801	Q17515	yes
1010125	Q10334533	yes
1011067	Q3706747	yes
1014153	Q1363253	yes
1025313	Q8019014	yes
103321	Q10288051	yes
1036271	Q4483066	yes
1051731	Q5572406	yes
1053537	Q71303421	yes
1062488	Q531951	yes
1076082	Q6793398	yes
1081201	Q2926770	yes
1092982	Q7027621	yes
1099996	Q1990328	yes
1146121	Q104220696	yes
1146498	Q28220230	yes
1146499	Q12411340	yes
1151144	Q105579854	yes
1151301	Q105579858	yes
1152749	Q126949678	yes
115436	Q3948210	yes
1156049	Q60693900	yes
1159848	Q1354081	yes
1174926	Q808485	yes
1174928	Q7376408	yes
1195860	Q17305212	yes
1198533	Q21198503	yes
1214841	Q5438315	yes
1219388	Q558789	yes
1227761	Q6199259	yes
1231924	Q4570285	yes
1233398	Q27536328	yes
1238127	Q64686000	yes
1238209	Q2644421	yes
1253678	Q6141779	yes
1257175	Q7174246	yes
1261365	Q5967741	yes
1281808	Q5892219	yes
12936	Q8012569	yes
1296533	Q920113	yes
1302340	Q1747292	yes
1311252	Q104690392	yes
1311261	Q104690275	yes
1312632	Q16204035	yes
1319192	Q132230004	yes
1322488	Q125360287	yes
1333859	Q7943510	yes
1340776	Q35554606	yes
136055	Q5137248	yes
1361998	Q16029250	yes
1376902	Q4820197	yes
138104	Q1929618	yes
1382316	Q16649506	yes
1382318	Q131718876	yes
1387960	Q104218627	yes
1395370	Q11688350	yes
1395485	Q131718728	yes
1407506	Q106542324	yes
1410761	Q94646939	yes
141092	Q1240330	yes
141702	Q55947990	yes
1418616	Q4568425	yes
1419109	Q713256	yes
1421129	Q5660398	yes
1426349	Q6009516	yes
142785	Q3387265	yes
1427897	Q112930723	yes
1430762	Q15629275	yes
1460133	Q5545419	yes
1462205	Q6201378	yes
1468441	Q16507418	yes
1468442	Q22957940	yes
1472846	Q212524	yes
1506357	Q5743346	yes
1507715	Q5940419	yes
1508457	Q95073990	yes
1508836	Q66735208	yes
1509054	Q4983741	yes
1509301	Q1037646	yes
1514698	Q104640819	yes
1515672	Q116840144	yes
1520128	Q4990914	yes
1538646	Q46944138	yes
1539069	Q3129535	yes
1540852	Q1912514	yes
1545799	Q109562911	yes
1547459	Q132781935	yes
1547894	Q6024519	yes
1552067	Q23061255	yes
1568986	Q59314831	yes
1573323	Q5953590	yes
1573492	Q6215150	yes
1596914	Q48921007	yes
1601664	Q1857045	yes
1602190	Q5273573	yes
1610815	Q6889741	yes
1620414	Q94786689	yes
1620416	Q126920012	yes
1623030	Q4967827	yes
1627931	Q2740012	yes
1631819	Q552660	yes
1634639	Q7170133	yes
1637576	Q28540318	yes
1647285	Q1249752	yes
1648900	Q115902412	yes
1649005	Q37007227	yes
1661883	Q714620	yes
1663015	Q512067	yes
1664425	Q110832903	yes
1690816	Q1563302	yes
1704012	Q1507532	yes
1734343	Q5346354	yes
1744189	Q6047231	yes
1744921	Q1508574	yes
175180	Q3762204	yes
1761145	Q41664590	yes
176137	Q5236795	yes
1764870	Q1404745	yes
1767111	Q1291701	yes
1775302	Q2848821	yes
1776993	Q21582266	yes
1802031	Q118352036	yes
1803072	Q5880112	yes
1804687	Q1706031	yes
1816792	Q100780109	yes
1830798	Q62595008	yes
1834983	Q7799336	yes
1835459	Q21027993	yes
1888116	Q8017971	yes
1888319	Q7449747	yes
1919476	Q88009	yes
1928232	Q41615247	yes
1942708	Q137285561	yes
1953221	Q131856208	yes
1953262	Q5539213	yes
1957506	Q1744240	yes
1957909	Q133531567	yes
1962637	Q3893038	yes
1966669	Q5571133	yes
1989350	Q16030330	yes
1995897	Q115738160	yes
1997034	Q1571622	yes
2000094	Q348362	yes
2000961	Q588369	yes
2015926	Q1912807	yes
2028652	Q1301059	yes
2034493	Q12371568	yes
2039166	Q131608006	yes
2043554	Q5795679	yes
2043556	Q4982733	yes
2048769	Q12312546	yes
2050811	Q5600314	yes
2062980	Q7608903	yes
2067346	Q4684495	yes
2071584	Q18158483	yes
207790	Q2661542	yes
2092245	Q15834569	yes
2097397	Q271590	yes
2102119	Q7156952	yes
2103326	Q12964011	yes
2105713	Q94904527	yes
2108659	Q99480174	yes
2110424	Q165786	yes
2129153	Q22704823	yes
2131431	Q21593121	yes
2141536	Q4808437	yes
2145652	Q1541981	yes
2156855	Q19285263	yes
2159251	Q124413972	yes
2160097	Q2398277	yes
2161665	Q6756226	yes
2186540	Q508323	yes
2195489	Q4888789	yes
2201715	Q5273480	yes
2205409	Q561224	yes
2207074	Q105798431	yes
2210732	Q125204013	yes
2211200	Q123251035	yes
2222703	Q1121904	yes
222663	Q932975	yes
2241891	Q6752825	yes
2242515	Q95368242	yes
2243686	Q4966132	yes
224380	Q8005572	yes
2247106	Q43639754	yes
2248999	Q131825208	yes
2249027	Q131824958	yes
2251632	Q332626	yes
2258983	Q26327664	yes
2284789	Q6858509	yes
2295731	Q107341968	yes
2304031	Q456180	yes
2315275	Q105566735	yes
2331316	Q5803117	yes
2339505	Q92062153	yes
2342018	Q766172	yes
234982	Q581786	yes
2351211	Q28856835	yes
2352798	Q879613	yes
2352898	Q15449790	yes
2353670	Q1212787	yes
2356986	Q535180	yes
2359870	Q1449075	yes
2360253	Q5604688	yes
2360262	Q4942197	yes
2364306	Q4409280	yes
2364805	Q958756	yes
236594	Q4795070	yes
2370226	Q2267027	yes
2371032	Q106708372	yes
2381774	Q5773558	yes
2381914	Q65920375	yes
2381979	Q4944454	yes
238398	Q1790296	yes
2386075	Q124370596	yes
2386092	Q124370622	yes
2389311	Q6180007	yes
2394721	Q106708337	yes
2396911	Q42120011	yes
2402289	Q105575715	yes
2411815	Q7325758	yes
2427540	Q45683034	yes
2429538	Q114023962	yes
2443550	Q4866839	yes
2444477	Q140469510	yes
2444498	Q140469542	yes
2446244	Q61791599	yes
2450325	Q867284	yes
2453881	Q15504466	yes
2454043	Q6243975	yes
2454220	Q7970068	yes
2465256	Q105465486	yes
2465260	Q105465672	yes
2466977	Q330165	yes
2475885	Q94889965	yes
2481467	Q3566150	yes
2485711	Q5962619	yes
2489895	Q128532	yes
2493285	Q106708368	yes
2495917	Q3078072	yes
2507534	Q19401833	yes
2515887	Q23988788	yes
2515950	Q462273	yes
2527087	Q276126	yes
2527138	Q372984	yes
2528196	Q105953114	yes
2532008	Q10354712	yes
2559541	Q29033880	yes
2560022	Q12348475	yes
256221	Q1356879	yes
2574156	Q6218829	yes
2585824	Q116484119	yes
2591273	Q27299886	yes
2594729	Q2655250	yes
2610798	Q7108786	yes
2614981	Q16467524	yes
2641501	Q610252	yes
2647416	Q852776	yes
2651183	Q829269	yes
2656450	Q1657551	yes
2664373	Q3647966	yes
2681652	Q111462445	yes
2683246	Q56299682	yes
2684664	Q8015188	yes
2691745	Q5371486	yes
2692558	Q5908480	yes
272968	Q1750774	yes
2734142	Q6537070	yes
2749324	Q13080924	yes
2751993	Q77453156	yes
2755138	Q99975894	yes
2759230	Q3760542	yes
2765992	Q3557134	yes
2771409	Q95175870	yes
2776851	Q104502050	yes
2777670	Q2497553	yes
2781951	Q84605	yes
2782598	Q5125357	yes
2789670	Q6243972	yes
2797119	Q6227419	yes
2799212	Q5536961	yes
2800930	Q984602	yes
2801010	Q951329	yes
2822353	Q5294382	yes
2827549	Q105577105	yes
282997962430004837	Q113580343	yes
283140959670003990	Q2903878	yes
283205126150002676	Q105559229	yes
283206076750002635	Q109230987	yes
283206861940002697	Q104700883	yes
283207005040002665	Q104700884	yes
283221649160002706	Q105558822	yes
283227330790002716	Q105524067	yes
283364094340006081	Q2545673	yes
2836410	Q1898971	yes
283934314630007217	Q13371078	yes
284423665310008397	Q106708339	yes
2844244	Q451136	yes
2845401	Q46256429	yes
284836610510007205	Q105606319	yes
285504357420004416	Q105506878	yes
285574103130001635	Q105504439	yes
285637810040003196	Q12023964	yes
285640212930006102	Q95447753	yes
285676629010005089	Q711742	yes
285712661840003213	Q63927596	yes
285805207080007304	Q899922	yes
285806819080007261	Q1002295	yes
285838432600004079	Q15993342	yes
286002365730001222	Q104807187	yes
286026394910004065	Q1354195	yes
286048103530004020	Q52993449	yes
