path,files,bytes,workflow_refs,pipeline_code_refs,test_refs,doc_refs,example_refs
!runClaude.bat,1,2780,0,0,0,0,
.claude/,7,21602,0,2,0,4,scripts/extract-user-turns.py scripts/measure-export-build-times.py
.claude/skills/,6,16756,0,0,0,3,
.gitattributes,1,177,0,0,0,0,
.github/,14,139447,9,19,6,6,.github/scripts/last_contribution.py .github/workflows/check-cluster-items.yml .github/workflows/daily-batch-email.yml .github/workflows/fetch-url.yml
.github/scripts/,1,3662,2,2,0,0,.github/scripts/last_contribution.py .github/workflows/pipeline.yml
.github/workflows/,13,135785,2,7,5,6,.github/workflows/pipeline.yml .github/workflows/redo-everything.yml scripts/build-family-structure.py scripts/build-parent-candidates.py
.gitignore,1,32016,0,2,2,3,scripts/build-identification-gedcoms.py scripts/flush.ps1
CLAUDE.md,1,51745,8,253,29,30,.github/workflows/ci.yml .github/workflows/fetch-items.yml .github/workflows/pages.yml .github/workflows/pipeline.yml
README.md,1,14007,0,8,1,3,geni-extension/content/common.js geni-extension/content/path.js scripts/build-isolate-path-targets.py scripts/collector-worklist.py
_plan.tsv,1,3103,0,0,0,0,
_regions.pkl,1,1344051,0,0,0,0,
address the problem in this image.PNG,1,148981,0,0,0,0,
address_this.html,1,177016,0,0,0,1,
address_this_files/,14,875753,0,0,0,0,
chats/,33,4092730,5,5,0,0,.github/workflows/ci.yml .github/workflows/pipeline.yml .github/workflows/review-decks.yml .github/workflows/tree.yml
chats/*_files/,30,3722806,0,0,0,0,
chats/Claude's inefficient wiki data querying - Claude_files/,30,3722806,0,0,0,0,
compose-garborg.log,1,65154,0,0,0,0,
correspondence.md,1,22414,0,7,0,0,scripts/analyse-givn-tokens.py scripts/analyse-nsfx.py scripts/build-samaritan-priest-links.py scripts/build-structural-correspondence-batch.py
devlog.md,1,2892443,0,4,0,9,scripts/audit-turns-recorded.py scripts/build-identification-gedcoms.py scripts/measure-export-build-times.py scripts/measure-export-throughput.py
docs/,46,19177578,4,77,19,24,.github/workflows/check-cluster-items.yml .github/workflows/pipeline.yml .github/workflows/tree.yml .github/workflows/union-tree.yml
docs/dictation/,2,13802,0,1,0,2,scripts/build-daily-batch.py
docs/queue-archive/,7,130303,0,0,0,3,
docs/queued-analysis/,9,18477937,0,0,0,1,
docs/rules/,6,343457,0,4,2,0,geni-extension/service-worker-1.7.49.js scripts/build-garborg-name-items.py scripts/build-nn-label-batch.py src/genimerge/editorder.py
edit-objects.md,1,7997,0,4,0,0,scripts/build-edit-objects.py src/genimerge/claims.py src/genimerge/crosscheck.py src/genimerge/namelinks.py
emission-spec.md,1,8281,0,3,0,0,scripts/build-en-label-batch.py scripts/measure-name-item-languages.py scripts/walk-structural-merge.py
exports/,22807,6581409520,7,132,24,23,.github/workflows/ci.yml .github/workflows/emit-research-ancestor-gedcoms.yml .github/workflows/pages.yml .github/workflows/pipeline.yml
exports/8-19 exports/,82,569551184,0,2,0,1,scripts/build-scrape-targets.py scripts/build-tiny-gedcoms.py
exports/Hata/,1,2586183,0,0,0,0,
exports/Li Hong/,2,5820635,0,0,0,1,
