qid	lang	when	tag	value
Q135525010	ja	2026-09-18	mw-reverted	カンポ・モトカトス
Q135525011	ja	2026-09-18	mw-reverted	カンポ・モトエン
Q135525012	ja	2026-09-18	mw-reverted	タキ・モトノリ
Q135579354	ja	2026-09-18	mw-reverted	トスサヒメ・ノ・ミコト
Q135579355	ja	2026-09-18	mw-reverted	クスヒフサキノミコト
Q135579356	ja	2026-09-18	mw-reverted	クスヒトスキノミコト
Q135579358	ja	2026-09-18	mw-reverted	クスヒキトリウミノミコト
Q135579361	ja	2026-09-18	mw-reverted	ヨモロスノミコト
Q135579362	ja	2026-09-18	mw-reverted	エイダ・ノ・ミコト
Q185832	ko	2026-09-15	mw-manual-revert	에마누엘 스베덴보리
Q217044	ja	2026-09-15	mw-reverted	フランツ・アドルフ・ベルワルド
Q217044	ko	2026-09-15	mw-manual-revert	프란스 베르발드
Q217044	zh	2026-09-15	mw-reverted	弗朗兹·贝瓦尔德
Q225212	ja	2026-09-15	mw-reverted	ハーラル3世 (デンマーク王)
Q225212	ko	2026-09-15	mw-manual-revert	하랄 3세
Q225212	zh	2026-09-15	mw-reverted	哈拉尔三世
Q236972	ko	2026-09-14	mw-reverted	유그시옹
Q236972	zh	2026-09-14	mw-reverted	尤克斯伊翁
Q246812	ja	2026-09-15	mw-reverted	スヴェン2世 (デンマーク王)
Q246812	ko	2026-09-15	mw-manual-revert	덴마크의 스벤 2세
Q246812	zh	2026-09-15	mw-reverted	斯文二世
Q280722	ja	2026-09-15	mw-reverted	イリヤ・ニコラエヴィチ・ウリヤノフ
Q280722	ko	2026-09-15	mw-manual-revert	일리야 울리야노프
Q280722	zh	2026-09-15	mw-reverted	伊利亞·尼古拉耶維奇·烏里揚諾夫
Q298628	ja	2026-09-15	mw-reverted	アンティオコス5世エウパトル
Q298628	ko	2026-09-15	mw-manual-revert	안티오코스 5세
Q298628	zh	2026-09-15	mw-reverted	安条克五世
Q299387	ko	2026-09-15	mw-manual-revert	프톨레마이오스 케라우노스
Q299387	zh	2026-09-15	mw-reverted	托勒密·克勞諾斯
Q299618	ja	2026-09-15	mw-reverted	アンティオコス11世
Q299618	ko	2026-09-15	mw-manual-revert	안티오코스 11세
Q299618	zh	2026-09-15	mw-reverted	安條克十一世
Q310435	ja	2026-09-15	mw-reverted	ルイ3世
Q310435	ko	2026-09-15	mw-manual-revert	루트비히 3세
Q310435	zh	2026-09-15	mw-reverted	瞎子路易
Q313179	ja	2026-09-15	mw-reverted	ヴィルヘルム
Q313179	ko	2026-09-15	mw-manual-revert	빌헬름
Q313883	ja	2026-09-15	mw-reverted	アレクサンドロス2世
Q313883	ko	2026-09-15	mw-manual-revert	알렉산드로스 2세
Q313883	zh	2026-09-15	mw-reverted	亞歷山大二世
Q329253	ko	2026-09-15	mw-manual-revert	이바르 헨닝 만켈
Q45383466	ja	2026-09-13	mw-reverted	ズフ・カオ
Q45383466	zh	2026-09-13	mw-reverted	兹胡·卡奥
Q473280	ja	2026-09-15	mw-reverted	グナエウス・ポンペイウス・ミノル
Q473280	ko	2026-09-15	mw-manual-revert	그나이우스 폼페이우스
Q473280	zh	2026-09-15	mw-reverted	格奈乌斯·庞培
Q473500	ja	2026-09-15	mw-manual-revert	ハインリヒ4世 (ケルンテン公)
Q475962	ja	2026-09-15	mw-reverted	ウルリヒ2世 (ヴァイマル＝オーラミュンデ伯)
Q475962	zh	2026-09-15	mw-manual-revert	烏爾里希二世
Q478034	ja	2026-09-15	mw-reverted	ワレラン1世・ド・リュクサンブール＝リニー
Q478034	zh	2026-09-15	mw-manual-revert	瓦勒良一世 (盧森堡-利尼)
Q498352	zh	2026-09-15	mw-manual-revert	約翰·巴列奧略
