geni_id	verdict	live_edges	saved_edges	missing	extra	detail
2120676	identical	32	32	0	0	0	
316216248270002934	identical	13	13	0	0	0	
365315518800010569	identical	6	6	0	0	0	
365471060260013162	identical	4	4	0	0	0	
368713820640003185	identical	7	7	0	0	0	
368714154710012201	identical	10	10	0	0	0	
3810353	identical	29	29	0	0	0	
4079111	identical	12	12	0	0	0	
6000000000659810695	identical-names-drifted	12	12	0	0	1	~mother|6000000000072130793|Gustaf Gadolin -> Gustaf Jakobsson Gadolin
6000000000694158525	differs	24	25	0	1	0	+wife|6000000227216569898
6000000001138735296	identical	13	13	0	0	0	
6000000001139071013	identical	13	13	0	0	0	
6000000001708363985	identical-names-drifted	11	11	0	0	2	~son|6000000006183866418|Nikulás Rögnvaldsson -> Nils Store Brandvik Ragnvaldsson; ~son|6000000007980739327|Herborg Bárðardóttir -> Herborg Baardsdatter Torsnes
6000000001713373908	identical	13	13	0	0	0	
6000000001784535509	identical	23	23	0	0	0	
6000000001995109345	identical	9	9	0	0	0	
6000000002228252084	identical	26	26	0	0	0	
6000000002572783163	identical	17	17	0	0	0	
6000000002750545795	identical	7	7	0	0	0	
6000000002893335701	identical	14	14	0	0	0	
6000000003095060610	identical	12	12	0	0	0	
6000000003491988489	differs	13	12	1	0	0	-half sister|6000000003491986946
6000000003495348795	identical	20	20	0	0	0	
6000000004214433404	identical	10	10	0	0	0	
6000000004533503379	identical	30	30	0	0	0	
6000000004650708520	identical	20	20	0	0	0	
6000000004671044584	identical	11	11	0	0	0	
6000000005606907877	identical	19	19	0	0	0	
6000000007210899736	identical	24	24	0	0	0	
6000000007339101221	identical	3	3	0	0	0	
6000000007589095414	identical	13	13	0	0	0	
6000000007614477274	identical	16	16	0	0	0	
6000000009134934503	identical	30	30	0	0	0	
6000000011078726908	identical	23	23	0	0	0	
6000000013214878518	identical	10	10	0	0	0	
6000000014044468426	identical	15	15	0	0	0	
6000000014301339457	identical	21	21	0	0	0	
6000000016425918956	identical	5	5	0	0	0	
6000000019032360275	identical	16	16	0	0	0	
6000000020475622749	identical	4	4	0	0	0	
6000000022905487598	identical	6	6	0	0	0	
6000000025592868536	identical	15	15	0	0	0	
6000000033547397933	identical	5	5	0	0	0	
6000000040464859483	identical	11	11	0	0	0	
6000000040996845017	differs	7	6	1	0	0	-father|6000000020252396454
6000000081003941823	identical	6	6	0	0	0	
6000000083767537112	identical	4	4	0	0	0	
6000000103752573902	identical	15	15	0	0	0	
6000000167857079822	identical	5	5	0	0	0	
6000000171058400024	identical	25	25	0	0	0	
6000000185158249846	identical	18	18	0	0	0	
