subject	property	dropped_value	already_holds
Q141538977	P22	LAST	Q141548447
Q141538798	P25	LAST	Q141515936
Q141538408	P25	LAST	Q141450282
Q141512154	P25	LAST	Q141450282
Q141336686	P25	LAST	Q141450282
Q141500816	P25	LAST	Q141487978
Q141271422	P25	LAST	Q141487978
Q141529639	P25	LAST	Q141487978
Q141516461	P25	LAST	Q141487978
Q141448495	P22	Q16649308	Q141488164
Q141487938	P22	Q141487953	Q141492748
Q141498969	P22	Q141512850	Q141499750
Q141498732	P22	Q116977061	Q141499213
Q141529406	P25	Q141498681	Q141498893
Q141511344	P22	Q141498733	Q141498903
Q141511344	P25	Q141498715	Q141498870
Q141353059	P22	Q141529264	Q141271445
Q141529006	P22	Q141498731	Q141498810
Q141522806	P25	Q141498668	Q141498869
Q141515170	P25	Q141498691	Q141498853
Q141520602	P25	Q141498713	Q141498867
Q141521898	P25	Q141498713	Q141498867
Q141450304	P25	Q141517840	Q141442951
Q141419517	P25	Q135480138	Q141242507
Q141521681	P25	Q141498689	Q141498819
Q141520361	P25	Q141498681	Q141498893
Q141336551	P22	Q1910668	Q141487972;Q141488193
Q141518258	P22	Q141512276	Q141520164
Q141521149	P25	Q141498707	Q141498800
Q141514089	P25	Q141498707	Q141498800
Q141511449	P22	Q141487953	Q141492748
Q141382507	P25	Q141224136	Q141382087
Q141520193	P25	Q141448468	Q141443314
Q141283096	P22	Q141529264	Q141271445
Q141447174	P22	Q141512276	Q141520164
Q141516532	P25	Q141498691	Q141498853
Q141318616	P22	Q141529260	Q141290198
Q141499805	P22	Q141498733	Q141498903
Q141499805	P25	Q141498715	Q141498870
Q141500867	P22	Q139194901	Q141487910
Q141500867	P25	Q123420182	Q141493406
Q141532533	P22	Q141487994	Q141492830
Q141493409	P25	Q141497326	Q141497521
Q141529657	P22	Q141488009	Q141492839
Q141498619	P22	Q141488009	Q141492839
Q141523798	P25	Q141498689	Q141498819
Q141430058	P22	Q141456306	Q141456368
Q141268108	P22	Q141529264	Q141271445
Q141533911	P25	Q141498707	Q141498800
Q133825293	P22	Q139194901	Q141487910
Q141521491	P22	Q141498706	Q141498801
Q141513583	P22	Q141498706	Q141498801
Q141515987	P22	Q1696778	Q141499087
Q141528807	P22	Q1556617	Q141494447
Q141440532	P22	Q1556617	Q141494447
Q135480258	P22	Q139194901	Q141487910
Q135480258	P25	Q123420182	Q141493406
Q5542632	P25	Q109829800	Q5542628
Q141487999	P22	Q141313505	Q141313702
Q141487999	P25	Q141529258	Q141314039
Q141442322	P22	Q61278559	Q141442290
Q141442322	P25	Q141225679	Q141225681
Q131729966	P22	Q5602483	Q131729967
Q141520312	P25	Q141523030	Q141353548
Q5588874	P22	Q141198381	Q5569976
Q141443322	P25	Q135480138	Q141242507
Q141529337	P25	Q141533912	Q141548324
Q141456361	P22	Q141313493	Q141313691
Q141440543	P22	Q141313493	Q141313691
Q141521981	P25	Q141519686	Q141521586
Q141242371	P25	Q141419525	Q141318572
Q141440606	P22	Q16649272	Q141456331
Q141533417	P22	Q136913895	Q141516053
Q141353773	P22	Q141313493	Q141313691
Q141216399	P22	Q141403623	Q141180408
Q4953277	P25	Q141223439	Q5797554
Q141532566	P22	Q141487994	Q141492830
Q141523603	P22	Q141487947	Q141492704
Q141516383	P25	Q141487900	Q141492656
Q141515926	P22	Q1556617	Q141494447
Q141518508	P22	Q123286292	Q141487940
Q141442968	P25	Q141313495	Q141313693
Q141450292	P25	Q141313495	Q141313693
Q141525858	P22	Q141498683	Q141498899
Q141502785	P22	Q141498711	Q141498813
Q141526365	P25	Q141502785	Q141504248
Q141511375	P22	Q136913895	Q141516053
Q141513970	P22	Q141497320	Q141497518
Q141538392	P22	Q141498731	Q141498810
Q141520471	P22	Q1910668	Q141487972
Q141457262	P22	Q1696778	Q141499087
Q141454426	P22	Q123286292	Q141487940
Q141319228	P22	Q20652942	Q141440602
Q141528954	P22	Q136913895	Q141516053
Q141533106	P25	Q141487920	Q141492677
Q141529456	P22	Q141498683	Q141498899
Q141529456	P25	Q141498721	Q141498845
Q141494442	P25	Q141244121	Q141436698
Q141514962	P22	Q141502935	Q141504313
Q141502492	P25	Q141498730	Q141498818
Q141528858	P25	Q141528846	Q141521395
Q141517563	P22	Q141498678	Q141498835
Q141517563	P25	Q141498679	Q141498854
Q141521027	P25	Q141529258	Q141518362
Q141528196	P22	Q141498690	Q141498873
Q141528196	P25	Q141498699	Q141498799
Q5622753	P22	Q141444733	Q5622748
Q141456425	P25	Q141529732	Q141529739
Q141511205	P25	Q141492611	Q141492666
Q141499829	P25	Q141492611	Q141492666
Q76355972	P25	Q3173713	Q5260727
Q141529755	P25	Q141352514	Q141498444
Q141440517	P22	Q141529265	Q141337266
Q141510815	P25	Q141529258	Q141314039
Q141520139	P22	Q141529265	Q141337266
Q141451116	P22	Q141529265	Q141337266
Q141528157	P22	Q141498683	Q141498899
Q141528157	P25	Q141498721	Q141498845
Q141492816	P22	Q124429892	Q141451053
Q141353640	P25	Q141225679	Q141225681
Q141528962	P25	Q141352514	Q141498444
Q141512999	P25	Q141352514	Q141498444
Q141499745	P25	Q141352514	Q141498444
Q141523350	P22	Q139194901	Q141487910
Q141523350	P25	Q123420182	Q141493406
Q141499443	P22	Q623497	Q141499460
