han	corpus_count	ko_readings	zh_pinyin	kKorean	kJapaneseOn	kJapaneseKun	definition
室	5117	실	shì	SIL	SHITSU	MURO HEYA	room, home, house, chamber; 13th lunar mansion, determinativ
原	3701	원	yuán	WEN	GEN	HARA MOTO TAZUNERU	source, origin, beginning
陳	3692	진	chén	CIN	CHIN JIN	TSURANERU NOBERU FURUI	exhibit, display; plead; surname
藤	3548	등	téng	TUNG	TOU DOU	FUJI	rattan, cane; creeper plant
正	3537	정	zhèng	CENG	SEI SHOU	TADASHII MASA TADASU	right, proper, correct
河	3436	하	hé	HA	KA	KAWA	river; stream; the Yellow River
子	3089	자	zǐ	CA	SHI SU	KO MI OTOKO	offspring, child; fruit, seed of; first earthly branch
田	2960	전	tián	CEN	DEN TEN	TA KARI	field, arable land, cultivated
平	2900	평	píng	PHYENG PHYEN	HEI HYOU BEN	TAIRA HIRA HIRATAI	flat, level, even; peaceful
州	2783	주	zhōu	CWU	SHUU SU	SU SHIMA	administrative division, state
長	2774	장	zhǎng	CANG	CHOU	NAGAI TAKERU OSA	long; length; excel in; leader; Kangxi radical 168
陽	2672	양	yáng	YANG	YOU	HI ITSUWARU	the active, male principle in Chinese philosophy (yang); lig
南	2521	남	nán	NAM	NAN DAN	MINAMI	south; southern part; southward
曾	2454	증	céng	CUNG	SO SOU ZOU	KATTE SUNAWACHI	already; sign of past
道	2234	도	dào	TO	DOU TOU	MICHI IU MICHIBIKU	path, road, street; method, way
安	2092	안	ān	AN	AN	YASUI YASUNJIRU IZUKUNSO	peaceful, tranquil, quiet
西	2013	서	xī	SE	SEI SAI	NISHI	west(ern); westward; occident; Kangxi radical 146
忠	1973	충	zhōng	CHWUNG	CHUU	MAGOKORO	loyalty, devotion, fidelity
松	1911	송	sōng	SONG	SHOU	MATSU	pine tree; fir tree
山	1829	산	shān	SAN	SAN SEN	YAMA	mountain, hill, peak
大	1822	대	dà	TAY THAY	TAI DAI TA	OOKII HAJIME OOINI	big, great, vast, large, high
縣	1771	현	xiàn	HYEN	KEN	KAKERU KAKARU AGATA	county, district, subdivision
東	1739	동	dōng	TONG	TOU	HIGASHI AZUMA	east, eastern, eastward
信	1738	신	xìn	SIN	SHIN	MAKOTO TAYORI MAKASERU	trust, believe; letter
京	1701	경	jīng	KYENG	KYOU KEI KIN	MIYAKO	capital city
隴	1594	롱	lǒng	LONG	ROU RYOU	UNE OKA	short name for Gansu Province; a mountain on the border of G
兆	1567	조	zhào	CO	CHOU JOU	KIZASU URANAI KIZASHI	omen; million; mega; also trillion. China = million; Japan a
狄	1529	적	dí	CEK	TEKI	EBISU	tribe from northern China; surname
陵	1500	능 릉	líng	LUNG	RYOU	MISASAGI SHINOGU OKA	hill, mound; mausoleum
世	1481	세	shì	SEY	SE SEI	YO	generation; world; era
川	1446	천	chuān	CHEN	SEN	KAWA	stream, river; flow; boil
氏	1417	씨	shì	SSI CI	SHI	UJI	clan, family; mister
公	1388	공	gōng	KONG	KOU	OOYAKE KIMI	fair, equitable; public; duke
一	1323	일	yī	IL	ICHI ITSU	HITOTSU HITOTABI HAJIME	one; a, an; alone
三	1312	삼	sān	SAM	SAN	MITSU MITABI	three
清	1292	청	qīng	CHENG	SEI SHOU	KIYOI KIYOMERU	clear, pure, clean; peaceful
城	1283	성	chéng	SENG	JOU	SHIRO KIZUKU	castle; city, town; municipality
院	1275	원	yuàn	WEN	IN	IN	courtyard, yard, court; school
久	1224	구	jiǔ	KWU	KYUU KU	HISASHII	long time (ago); time passage, grow late
義	1221	의	yì	UY	GI	YOI YOSHITOSURU YOKU	right conduct, righteousness
重	1196	중	zhòng	CWUNG	CHOU JUU	OMOI KASANERU E	heavy, weighty; double
政	1176	정	zhèng	CENG	SEI SHOU	MATSURIGOTO TADASU	government, political affairs
野	1175	야	yě	YA	YA SHO	NO	open country, field; wilderness
高	1147	고	gāo	KO	KOU	TAKAI TAKAMARU TAKASA	high, tall; lofty, elevated; Kangxi radical 189
宗	1119	종	zōng	CONG	SHUU SOU	MUNE TATTOBU	lineage, ancestry; ancestor, clan
洛	1116	낙 락	luò	LAK	RAKU	MATOU TSURANARU	river in Shanxi province; city
王	1110	왕	wáng	WANG	OU	KIMI	king, ruler; royal; surname
利	1090	리 이	lì	LI	RI	KIKU YOI SURUDOI	gains, advantage, profit, merit
光	1072	광	guāng	KWANG	KOU	HIKARU HIKARI	light, brilliant, shine; only
条	1049		tiáo	CO	JOU	EDA SUJI	clause, condition; string, stripe
井	1046	정	jǐng	CENG	SEI SHOU	I IDO	well, mine shaft, pit; surname; 22nd lunar mansion, determin
元	1044	원	yuán	WEN	GEN GAN	MOTO KOUBE	first; dollar; origin; head
直	1043	직	zhí	CIK	CHOKU JIKI	NAOSU TADACHINI NAOI	straight, erect, vertical
親	1022	친	qīn	CHIN	SHIN	SHITASHII OYA MIZUKARA	relatives, parents; intimate
源	996	원	yuán	WEN	GEN	MINAMOTO	spring; source, head; surname
小	971	소	xiǎo	SO	SHOU	CHIISAI KO O	small, tiny, insignificant
貞	950	정	zhēn	CENG	TEI JOU	TADASHII	virtuous, chaste, pure; loyal
成	950	성	chéng	SENG	SEI JOU	NARU TAIRAGERU NASU	completed, finished, fixed
武	936	무	wǔ	MWU	BU MU	TAKESHI	military; martial, warlike
二	931	이	èr	I	NI JI	FUTATSU FUTATABI	two; twice
喜	923	희	xǐ	HUY	KI SHI	YOROKOBU YOROKOBI	like, love, enjoy; joyful thing
女	909	녀 여	nǚ	NYE	JO NYO NYOU	ONNA ME MUSUME	woman, girl; feminine; Kangxi radical 38; 10th lunar mansion
頼	879	뢰	lài	LOY	RAI	TANOMU TAYORU TAYORI	rely, depend on; accuse falsely
中	875	중	zhōng	CWUNG	CHUU	NAKA UCHI ATARU	central; center, middle; in the midst of; hit (target); atta
娘	837	낭	niáng	NANG	JOU NYOU	MUSUME	mother; young girl; woman; wife
文	826	문	wén	MWUN	BUN MON	FUMI AYA KAZARU	literature, culture, writing
聞	823	문	wén	MWUN	BUN MON	KIKU KIKOERU KIKOE	hear; smell; make known; news
家	798	가	jiā	KA	KA KE KO	IE YA UCHI	house, home, residence; family
昌	782	창	chāng	CHANG	SHOU	SAKAN	light of sun; good, proper
明	775	명	míng	MYENG	MEI MYOU	AKARUI AKIRAKA AKERU	bright, light, brilliant; clear
勝	769	승	shèng	SUNG	SHOU	KATSU MASARU TAERU	victory; excel, be better than
之	763	지	zhī	CI	SHI	YUKU KORE NO	marks preceding phrase as modifier of following phrase; it, 
定	744	정	dìng	CENG	TEI JOU	SADAMERU SADAMARU SADAME	decide, settle, fix
弘	743	홍	hóng	HONG	KOU GU	HIROI HIROMERU	enlarge, expand; liberal, great
陰	742	음	yīn	UM	IN ON AN	KAGE KAGERU KURAI	the passive, female principle in Chinese philosophy (yin); d
実	739	실	shí	SIL	JITSU SHITSU	MI MINORU MICHIRU	real, true; honest, sincere
上	730	상	shàng	SANG	JOU SHOU	UE KAMI NOBORU	top; superior, highest; go up, send up
部	725	부	bù	PWU	BU HO HOU	WAKERU SUBERU TSUKASA	part, division, section
吉	721	길	jí	KIL	KICHI KITSU	YOI	lucky, propitious, good
范	720	범	fàn	PEM	HAN HON	HACHI IGATA NORI	surname; bee-like insect
皇	708	황	huáng	HWANG WANG	KOU OU	KAMI KIMI SUMERAGI	royal, imperial; ruler, superior
吳	694	오	wú	O HO	GO	KURE KURERU	one of warring states; surname
華	692	화	huá	HWA	KA KE	HANA HANAYAKA	flowery; illustrious; Chinese
隆	667	륭 융	lóng	LYUNG	RYUU	NAKADAKA TAKAI	prosperous, plentiful, abundant
内	666		nèi	NAY NAP	DAI NAI	UCHI IRU IRERU	inside
良	664	량 양	liáng	LYANG	RYOU	YOI YAYA	good, virtuous, respectable
趙	638	조	zhào	CO	CHOU	OYOBU KOERU SUBASHIKOI	surname; Warring States-era kingdom in modern Hebei and Shan
伊	634	이	yī	I	I	KORE KARE TADA	third person pronoun; he, she, this, that
通	631	통	tōng	THONG	TSUU TSU TOU	TOORU KAYOU TOORI	pass through; common; communicate
本	621	본	běn	PON	HON	MOTO	root, origin, source; basis
仁	619	인	rén	IN	JIN NIN NI	HITO ITSUKUSHIMU	humaneness, benevolence, kindness
村	613	촌	cūn	CHON	SON	MURA	village, hamlet; uncouth, vulgar
臨	605	림 임	lín	LIM	RIN	NOZOMU	draw near, approach; descend; hexagram ䷒
仲	586	중	zhòng	CWUNG	CHUU	NAKA	middle brother; go between, mediator; surname
江	585	강	jiāng	KANG	KOU	E	large river; the Yangzi; surname
佐	580	좌	zuǒ	CWA	SA	TASUKE TASUKERU SUKE	assist, aid, second; subordinate
太	577	태	tài	THAY	TA TAI	FUTOI HANAHADA FUTORU	very, too, much; big; extreme
蘭	577	난 란	lán	LAN	RAN	FUJIBAKA	orchid; elegant, graceful
継	576		jì	KYEY	KEI	TSUGU TSUGI MAMA	continue, maintain, carry on
景	575	경	jǐng	KYENG YENG	KEI EI	KESHIKI KAGE	scenery, view; conditions
郡	574	군	jùn	KWUN	GUN KUN	KOORI	administrative division
俊	573	준	jùn	CWUN	SHUN	SUGURERU	talented, capable; handsome
姓	565	성	xìng	SENG	SEI SHOU	KABANE	one's family name; clan, people
前	559	전	qián	CEN	ZEN SEN	MAE SUSUMU	in front, forward; preceding
天	556	천	tiān	CHEN	TEN	AME SORA	sky, heaven; god, celestial
鄭	553	정	zhèng	CENG	TEI JOU	KASANERU	state in today's Henan; surname
興	552	흥	xìng	HUNG	KYOU KOU	OKORU OKOSU OKIRU	thrive, prosper, flourish
綱	550	강	gāng	KANG	KOU	TSUNA	heavy rope, hawser; main points
木	546	목	mù	MOK MO	BOKU MOKU	KI	tree; wood, lumber; wooden
杜	546	두	dù	TWU	DO TO ZU	YAMANASHI FUSAGU MORI	stop, prevent; restrict; surname
姬	538	희	jī	HUY	KI	HIME	beauty; imperial concubine
季	538	계	jì	KYEY	KI	SUE TOKI	quarter of year; season; surname
朝	537	조	cháo	CO	CHOU	ASA ASHITA ATSUMARU	dynasty; morning
房	534	방	fáng	PANG	BOU HOU	FUSA HEYA	house, building; room; 4th lunar mansion, determinative star
広	531	광	guǎng	KWANG	KOU	HIROI HIROMERU HIROGERU	broad, wide, extensive
津	522	진	jīn	CIN	SHIN	TSU	ferry; saliva; ford
北	519	배 북	běi	PWUK PEY	HOKU HAI	KITA NIGERU	north; northern; northward
島	518	도	dǎo	TO	TOU	SHIMA	island
織	513	직	zhī	CIK	SHOKU SHIKI SHI	ORU	weave, knit; organize, unite
臣	510	신	chén	SIN	SHIN JIN	OMI KERAI	minister, statesman, official; Kangxi radical 131
秀	507	수	xiù	SWU	SHUU	HIIDERU	ear of grain; flowering, luxuriant; refined, elegant, gracef
石	505	석	shí	SEK	SHAKU SEKI KOKU	ISHI	stone, rock, mineral; Kangxi radical 112
行	504	항 행	xíng	HAYNG HANG	KOU GYOU AN	IKU YUKU OKONAU	go; walk; move, travel; circulate; Kangxi radical 144
開	504	개	kāi	KAY	KAI	HIRAKU AKU	open; initiate, begin, start
多	498	다	duō	TA	TA	OOI MASARU MASANI	much, many; more than, over
基	497	기	jī	KI	KI	MOTOI MOTO MOTOZUKU	foundation, base
紀	496	기	jì	KI	KI	OSAMERU NORI SHIRUSU	record, annal, historical account
方	491	방	fāng	PANG	HOU	KATA NARABERU KURABERU	a square, rectangle; a region; local
邪	491	사	xié	SA YA	YA JA SHA	YA KA YOKOSHIMA	wrong, evil, depraved, vicious, perverse, heterodox
琅	490	랑	láng	LANG	ROU		a variety of white carnelian; pure
時	482	시	shí	SI	JI SHI	TOKI KORE	time, season; era, age, period
名	482	명	míng	MYENG	MEI MYOU	NA NANORU NAZUKERU	name, rank, title, position
孝	479	효	xiào	HYO	KOU KYOU		filial piety, obedience; mourning
保	476	보	bǎo	PO	HO HOU	TAMOTSU YASUNJIRU	protect, safeguard, defend, care
沂	474	기	yí	KI	KI KIN	HOTORI FUCHI	river in southeast Shandong
康	473	강	kāng	KANG	KOU	YASUI	peaceful, quiet; happy, healthy
水	466	수	shuǐ	SWU	SUI	MIZU	water, liquid, lotion, juice
封	464	봉	fēng	PONG	FUU HOU	SAKAI TOJIRU PONDO	letter, envelope; feudal
永	458	영	yǒng	YENG	EI YOU	NAGAI TOKOSHIENI	long, perpetual, eternal, forever
倉	458	창	cāng	CHANG	SOU	KURA	granary; berth; sea
盛	446	성	shèng	SENG	SEI JOU	MORU SAKAN SAKARU	abundant, flourishing; contain; fill
德	439	덕	dé	TEK	TOKU	OSHIE	ethics, morality, virtue
経	432		jīng	KYENG	KEI KYOU	HERU TATEITO TSUNE	classic works; pass through
邱	430	구	qiū	KWU	KYUU	OKA	surname; hill; mound; grave
徳	430	덕	dé	TEK	TOKU	OSHIE	virtue; ethics
晉	427	진	jìn	CIN	SHIN SEN	SUSUMU OSAERU TSUTSUSHIMU	advance, increase; promote; hexagram ䷢
泰	422	태	tài	THAY	TAI	YASUI OOKII OGORU	great, exalted, superior; big; hexagram ䷊
農	413	농	nóng	NONG	NOU DOU	KUSAGIRU TAGAYASU	agriculture, farming; farmer
榮	413	영	róng	YENG	EI YOU	SAKAERU HAE	glory, honor; flourish, prosper
有	412	유	yǒu	YU	YUU U	ARU MOTSU TAMOTSU	have, own, possess; exist
五	406	오	wǔ	O	GO	ITSUTSU	five; surname
伯	404	백	bó	PAYK PHAY	HAKU HA	OSA HATAGASHIRA	older brother; father's elder brother; senior male 'sire'; f
四	403	사	sì	SA	SHI	YOTSU YOTABI	four
土	399	토	tǔ	THO TWU	DO TO	TSUCHI	soil, earth; items made of earth
