round	geni_id	qid	band	ours	theirs	our_parents	their_parents	comparable_slots	slots_agreeing
1	1077590	Q110601806	ONE-PARENT-AGREE	Pierre Blosset	Pierre Blosset	1	2	1	1
1	1077592	Q110601811	NO-PARENTS	Isabelle de Canouville	Isabelle D'Esmalleville	0	0	0	0
1	1077692	Q116003570	PARENTS-ONE-SIDE	Robert VI d'O Seigneur d'O	Robert VI d'O, seingeur d'O	0	2	0	0
1	1077697	Q116003577	BOTH-PARENTS-AGREE	Jeanne LeBaveux Dame de Fresnes, Baillet, Mailleboix et Franconville	Jeanne Le Baveux, Dame de Fresnes, Baillet, Mailleboix et Franconville	2	2	2	2
1	1312227	Q96201650	PARENTS-ONE-SIDE	Bethia Lathrop	Bethiah Lathrop	0	2	0	0
1	1341991	Q2718796	PARENTS-ONE-SIDE	"Godred ""Crovan"" Haraldsson King of the Isle of Man and of Dublin"	Godred Crovan	0	1	0	0
1	1350415	Q107302286	PARENTS-ONE-SIDE	Borbála Berényi de Karancsberény	Gräfin Borbála Berényi de Karancs-Berény	0	2	0	0
1	1793389	Q20890684	PARENTS-ONE-SIDE	Louise (Tante Vis) Welhaven	Louise Welhaven	2	0	0	0
1	2186128	Q5976087	ONE-PARENT-AGREE	Alfred Henrik de Maré	Henrik de Maré	2	1	1	1
1	2433762	Q19546134	BOTH-PARENTS-AGREE	Willem III van Brederode van Teylingen	Willem van Brederode	2	2	2	2
1	283157258880005868	Q110549309	NO-PARENTS	Anna Plantina	Anna Plantin	0	0	0	0
1	283163048380005890	Q127270394	NO-PARENTS	Margareta Hansdotter	Margareta Hansdotter	0	0	0	0
1	284143581860005978	Q112969084	BOTH-PARENTS-AGREE	Catharina Segersdotter Nentzelia	Catharina Nentzenius	2	2	2	2
1	2852356	Q126089031	PARENTS-ONE-SIDE	Peder Arvidsson Roman	Per Arvidsson	2	0	0	0
1	287616355090002968	Q75445757	BOTH-PARENTS-PARTIAL	Carl Johan Bagge	Carl Bagge	2	2	2	1
1	287620114100006364	Q75445769	BOTH-PARENTS-PARTIAL	Caroline Elizabeth Bagge	Carolina Elisabeth Bagge	2	2	2	1
1	290458573020002572	Q3417511	PARENTS-ONE-SIDE	Regintrude I de Bourgogne	Ragnétrude	2	0	0	0
1	290459821900001444	Q3431489	NO-PARENTS	Richemer d'Orleans Duke of the Burgundians and Franconians	Richomer	0	0	0	0
1	290460696890002594	Q3104400	PARENTS-ONE-SIDE	Garitrudis	Gertrud of Hamage	2	0	0	0
1	290640787220001509	Q99301908	ONE-PARENT-AGREE	Anna Axelsdotter Hällekis	Anna Axelsdotter av Hellekis, heiress of Säby & Hällekis	1	2	1	1
1	291011464460007572	Q16945071	NO-PARENTS	Göran Andersson Andersson	Göran Armsköld	0	0	0	0
1	292346345950008551	Q110426276	BOTH-PARENTS-AGREE	Lone Knutzon	Lone Seidenfaden	2	2	2	2
1	294497400980006361	Q314001	BOTH-PARENTS-PARTIAL	Rudolf II Habsburg Duke of Swabia	Rudolf II, Duke of Austria	2	2	2	1
1	294499031220005507	Q57323	BOTH-PARENTS-AGREE	Otto III Béla V Wittelsbach Herzog von Niederbayern, König von Ungarn magyar király	Otto V, Duke of Bavaria	2	2	2	2
1	294505619910001663	Q5053006	PARENTS-ONE-SIDE	Katarzyna	Catherine of Hungary, Duchess of Świdnica	0	2	0	0
1	294505796020003642	Q553884	BOTH-PARENTS-AGREE	Henry II of Świdnica	Henry II, Duke of Świdnica	2	2	2	2
1	297898016850003658	Q101248439	BOTH-PARENTS-AGREE	Sten Haraldsson Gren	Sten Haraldsson [Gren] på Ål	2	2	2	2
1	298732052860003667	Q261237	BOTH-PARENTS-AGREE	Elisabeth Wittelsbach Römisch-Deutsche Königin, Königin von Sizilien und Jerusalem	Elisabeth of Bavaria, Queen of Germany	2	2	2	2
1	300373742270008098	Q1747562	PARENTS-ONE-SIDE	Christine Henriette von Hessen-Rheinfels-Rotenburg	Landgravine Christine of Hesse-Rotenburg	0	2	0	0
1	302329770210002882	Q75382599	PARENTS-ONE-SIDE	Katherine Howard	Katherine Howard	0	2	0	0
1	303017853050005647	Q7879756	ONE-PARENT-AGREE	Ulpia Domitia	Ulpia	2	1	1	1
1	303641689860003787	Q75389552	NO-PARENTS	Thomas Isaac	Sir Thomas Isaac	0	0	0	0
1	3044393	Q8044361	PARENTS-ONE-SIDE		Xie Daoyun	0	1	0	0
1	3047566	Q50512407	BOTH-PARENTS-AGREE	Elisabet Kock	Elisabeth Cronström	2	2	2	2
1	305505408250004454	Q101247640	BOTH-PARENTS-PARTIAL	Göran Hansson (Stiernsköld)	Göran Hansson Stiernsköld	2	2	2	1
1	305976324250005669	Q254374	NAMES-CONFLICT	Judith of Swabia	Judith of Swabia	2	2	2	0
1	307046056690002160	Q123359125	NO-PARENTS	Carolina Gustava Zachau	Carolina Gustava Zachau	0	0	0	0
1	310795735510001425	Q61212	ONE-PARENT-AGREE	Wilhelm Ludwig von Württemberg Herzog	William Louis, Duke of Württemberg	1	2	1	1
1	310869549760008257	Q1426441	BOTH-PARENTS-AGREE	Irmengard zu von Öttingen	Irmengard of Oettingen	2	2	2	2
1	311731497930005744	Q62481	BOTH-PARENTS-PARTIAL	Wilhelm Welf the Younger, Duke of Brunswick-Lüneburg	William the Younger, Duke of Brunswick-Lüneburg	2	2	2	1
